ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_FORM	CLPA	CONCEPTICON_ID	GLOTTOLOG
28	French	and	e	e	848	e	1089	1577	stan1290
29	German	and	ʊnt	ʊ n t	176	ʊnt	904 107 120	1577	stan1295
30	Greek_Mod	and	ce̞	c e̞	1447	ce̞, c(i)	606 1106	1577	mode1248
31	Italian	and	e	e	848	e, ed	1089	1577	ital1282
32	Marathi	and	ani	a n i	1591	'ani	997 107 1076	1577	mara1378
33	Polish	and	i	i	1103	i	1076	1577	poli1260
34	Portuguese_ST	and	i	i	848	i	1076	1577	port1283
35	Russian	and	i	i	1103	i	1076	1577	russ1263
36	Spanish	and	i	i	848	i	1076	1577	stan1288
37	Swedish	and	ɔkː	ɔ kː	1303	ɔ(kː)	916 832	1577	swed1254
38	Oriya	and	o	o	1	o	887	1577	oriy1255
39	Bihari	and	aur	au r	1	aur	1033 153	1577	mait1250
40	Urdu	and	ʔɔɾ	ʔ ɔ ɾ	1	ʔɔɾ	409 916 66	1577	urdu1245
#
41	Armenian_Mod	animal	kɛntʰɑni	k ɛ n tʰ ɑ n i	3385	kɛntʰɑˈni	838 1121 107 138 952 107 1076	619	nucl1235
42	Breton_ST	animal	ɑ̃neval	ɑ̃ n e v a l	849	ɑ̃ˈneval	951 107 1089 451 997 554	619	bret1244
43	Catalan	animal	ənimal	ə n i m a l	849	əni’mal	1022 107 1076 241 997 554	619	stan1289
44	Czech	animal	zviːr̝ɛ	z v iː r ɛ	1104	zviːr̝ɛ	80 451 1068 153 1121	619	czec1258
45	Danish	animal	d̥yːʌ	d̥ yː ʌ	177	ˈd̥yːʌ, 'd̥yɐ̯	109 1049 960	619	dani1285
46	Dutch_List	animal	dir	d i r	177	dir	145 1076 153	619	dutc1256
47	English	animal	ænɪməl	æ n ɪ m ə l	849	'ænɪməl	1087 107 1110 241 1022 554	619	stan1293
48	French	animal	animal	a n i m a l	849	animal	997 107 1076 241 997 554	619	stan1290
49	German	animal	tiːɐ̯	t iː ɐ̯	177	ti:ɐ̯	120 1068 985	619	stan1295
50	Greek_Mod	animal	zo̞o̞	z o̞ o̞	2176	ˈzo̞ˌo̞	80 878 878	619	mode1248
51	Italian	animal	animale	a n i m a l e	849	ani'male	997 107 1076 241 997 554 1089	619	ital1282
52	Polish	animal	zvʲɛʒɛ̃	z vʲ ɛ ʒ ɛ̃	1104	ˈzvʲɛʒɛ̃	80 434 1121 685 1123	619	poli1260
53	Portuguese_ST	animal	ɐnimaɫ	ɐ n i m a lˠ	849	ɐniˈmaɫ	986 107 1076 241 997 549	619	port1283
54	Russian	animal	ʒɨvotnoe	ʒ ɨ v o t n o e	2176	ʒɨ'votnoe	685 983 451 887 120 107 887 1089	619	russ1263
55	Spanish	animal	animal	a n i m a l	849	ani'mal	997 107 1076 241 997 554	619	stan1288
56	Swedish	animal	jʉːr	j ʉː r	177	jʉːr	570 966 153	619	swed1254
57	Oriya	animal	praɳi	p r a ɳ i	849	praṇi	291 153 997 711 1076	619	oriy1255
58	Oriya	animal	pɔsu	p ɔ s u	2177	pɔsu	291 916 89 868	619	oriy1255
59	Bihari	animal	janbər	j a n b ə r	684	janbər	570 997 107 257 1022 153	619	mait1250
60	Oriya	animal	ʤɔntu	dʒ ɔ n t u	684	ʤɔntu	655 916 107 120 868	619	oriy1255
61	Urdu	animal	ʤɑnwəɾ	dʒ ɑ n w ə ɾ	684	ʤɑnwəɾ	655 952 107 462 1022 66	619	urdu1245
62	Breton_ST	animal	lo.ɛ̃n	l o ɛ̃ n	2429	lo.ɛ̃n	554 887 1123 107	619	bret1244
63	Marathi	animal	dzənawəɾ	d z ə n a w ə ɾ	684	dzən'awəɾ	145 80 1022 107 997 462 1022 66	619	mara1378
#
64	Armenian_Mod	ashes	moχiɾ	m o χ i ɾ	568	moˈχiɾ	241 887 748 1076 66	646	nucl1235
65	Breton_ST	ashes	lyːdy	l yː d y	968	'ly:dy	554 1049 145 1047	646	bret1244
66	Catalan	ashes	sɛndrə	s ɛ n d r ə	850	'sɛndrə	89 1121 107 145 153 1022	646	stan1289
67	Czech	ashes	popɛl	p o p ɛ l	1105	popɛl	291 887 291 1121 554	646	czec1258
68	Danish	ashes	asg̥ʰə	a s ɡ̥ʰ ə	178	ˈasg̥ʰə	997 89 812 1022	646	dani1285
69	Dutch_List	ashes	ɑs	ɑ s	178	ɑs	952 89	646	dutc1256
70	English	ashes	æʃɪz	æ ʃ ɪ z	178	æʃɪz	1087 683 1110 80	646	stan1293
71	French	ashes	sɑ̃dʀ	s ɑ̃ d ʀ	850	sɑ̃dʀ	89 951 145 767	646	stan1290
72	German	ashes	aʃə	a ʃ ə	178	'aʃə	997 683 1022	646	stan1295
73	Greek_Mod	ashes	staxti	s t a x t i	1448	ˈstaxti	89 120 997 778 120 1076	646	mode1248
74	Italian	ashes	ʧenere	tʃ e n e r e	850	'tʃenere	651 1089 107 1089 153 1089	646	ital1282
75	Marathi	ashes	ɾakʰ	ɾ a kʰ	1592	ɾakʰ	66 997 820	646	mara1378
76	Polish	ashes	pɔpʲuw	p ɔ pʲ u w	1105	ˈpɔpʲuw	291 916 273 868 462	646	poli1260
77	Portuguese_ST	ashes	sĩzɐʃ	s ĩ z ɐ ʃ	850	ˈsĩzɐʃ	89 1078 80 986 683	646	port1283
78	Russian	ashes	zola	z o l a	3386	zo'la	80 887 554 997	646	russ1263
79	Spanish	ashes	θeniθas	θ e n i θ a s	850	θe'niθas	417 1089 107 1076 417 997 89	646	stan1288
80	Swedish	ashes	stɔft	s t ɔ f t	1448	stɔft	89 120 916 452 120	646	swed1254
81	Bihari	ashes	cʰaur	cʰ au r	2182	chaur	604 1033 153	646	mait1250
82	Oriya	ashes	bʱɔsmoɔ	b̤ ɔ s m o	2189	bhɔsmoɔ	281 916 89 241 887	646	oriy1255
83	Oriya	ashes	paːũsɔ	p aː ũ s ɔ	3389	pãũsɔ	291 1004 866 89 916	646	oriy1255
84	Urdu	ashes	ɾɑkʰ	ɾ ɑ kʰ	1592	ɾɑkʰ	66 952 820	646	urdu1245
85	Swedish	ashes	aska	a s k a	178	'aska	997 89 838 997	646	swed1254
86	Marathi	ashes	bʱəsmə	b̤ ə s m ə	2189	'bʱəsmə	281 1022 89 241 1022	646	mara1378
#
87	Catalan	at	a	a	2542	a	997	1461	stan1289
88	Czech	at	ʊ	ʊ	2540	ʊ	904	1461	czec1258
89	Danish	at	veð	v e ð	2545	veð	451 1089 419	1461	dani1285
90	Dutch_List	at	tə	t ə	2546	tə	120 1022	1461	dutc1256
91	English	at	æt	æ t	2542	æt	1087 120	1461	stan1293
92	French	at	a	a	2542	a	997	1461	stan1290
93	German	at	an	a n	2544	an	997 107	1461	stan1295
94	Greek_Mod	at	se̞	s e̞	1449	se̞	89 1106	1461	mode1248
95	Italian	at	a	a	2542	a, ad	997	1461	ital1282
96	Marathi	at	t	t	1659	t, tʰe	120	1461	mara1378
97	Polish	at	v	v	2535	v	451	1461	poli1260
98	Portuguese_ST	at	ɐ̃j	ɐ̃ j	2535	ɐ̃j	987 570	1461	port1283
99	Russian	at	v	v	2535	v	451	1461	russ1263
100	Spanish	at	a	a	2542	a	997	1461	stan1288
101	Swedish	at	viːd	v iː d	2545	viːd	451 1068 145	1461	swed1254
102	Breton_ST	at	e	e	2535	e, ẽn	1089	1461	bret1244
103	Oriya	at	ʈʰare	ʈʰ a r e	2537	ṭhare	725 997 153 1089	1461	oriy1255
104	Oriya	at	re	r e	2537	re	153 1089	1461	oriy1255
105	Urdu	at	pəɾ	p ə ɾ	2536	pəɾ, pɛ	291 1022 66	1461	urdu1245
106	Czech	at	pr̝ɪ	p r ɪ	2538	pr̝̊ɪ	291 153 1110	1461	czec1258
107	Russian	at	u	u	2540	u	868	1461	russ1263
108	Catalan	at	pər	p ə r	3544	pər	291 1022 153	1461	stan1289
109	Portuguese_ST	at	a	a	2543	a	997	1461	port1283
110	Swedish	at	poː	p oː	3561	po:	291 880	1461	swed1254
111	Marathi	at	wadzta	w a d z t a	1829	'wadzta	462 997 145 80 120 997	1461	mara1378
112	Armenian_Mod	at	um	u m	3582	um	868 241	1461	nucl1235
113	Armenian_Mod	at	in	i n	3588	in	1076 107	1461	nucl1235
#
114	Breton_ST	back	kɛjn	k ɛ j n	969	kɛjn	838 1121 570 107	1291	bret1244
115	Catalan	back	əspaʎʎə	ə s p a ʎː ə	2186	əs'paʎʎə	1022 89 291 997 587 1022	1291	stan1289
116	Danish	back	b̥ɛj	b̥ ɛ j	180	b̥ɛj	283 1121 570	1291	dani1285
117	Dutch_List	back	rʏχ	r ʏ χ	2183	rʏχ	153 1054 748	1291	dutc1256
118	English	back	bæk	b æ k	180	bæk	257 1087 838	1291	stan1293
119	French	back	do	d o	851	do	145 887	1291	stan1290
120	German	back	rijkn̩	r i j k n̩	2183	'rijkn̩	153 1076 570 838 97	1291	stan1295
121	Greek_Mod	back	plati	p l a t i	1580	ˈplati	291 554 997 120 1076	1291	mode1248
122	Italian	back	dɔsso	d ɔ sː o	851	'dɔsso	145 916 72 887	1291	ital1282
123	Marathi	back	patʰ	p a tʰ	686	patʰ	291 997 138	1291	mara1378
124	Polish	back	plɛʦɨ	p l ɛ ts ɨ	1885	'plɛʦɨ	291 554 1121 15 983	1291	poli1260
125	Russian	back	spina	s p i n a	2059	spi'na	89 291 1076 107 997	1291	russ1263
126	Spanish	back	espalda	e s p a l d a	2186	es'palda	1089 89 291 997 554 145 997	1291	stan1288
127	Swedish	back	rʏg	r ʏ ɡ	2183	rʏg	153 1054 831	1291	swed1254
128	Bihari	back	piʈa	p i ʈ a	686	piʈa	291 1076 717 997	1291	mait1250
129	Bihari	back	ɖar	ɖ a r	3391	ɖar	721 997 153	1291	mait1250
130	Oriya	back	piʈʰi	p i ʈʰ i	686	piṭhi	291 1076 725 1076	1291	oriy1255
131	Urdu	back	kəməɾ	k ə m ə ɾ	3453	kəməɾ	838 1022 241 1022 66	1291	urdu1245
132	Catalan	back	əskɛnə	ə s k ɛ n ə	2551	əs'kɛnə	1022 89 838 1121 107 1022	1291	stan1289
133	Portuguese_ST	back	kɔʃtɐʃ	k ɔ ʃ t ɐ ʃ	3533	ˈkɔʃtɐʃ	838 916 683 120 986 683	1291	port1283
134	Armenian_Mod	back	meʧʰkʰ	m e tʃʰ kʰ	3589	meʧʰkʰ	241 1089 661 820	1291	nucl1235
135	Czech	back	zaːda	z aː d a	3591	zaːda	80 1004 145 997	1291	czec1258
#
136	Breton_ST	bad	fal	f a l	970	fal	452 997 554	1292	bret1244
137	Catalan	bad	mal	m a l	852	mal	241 997 554	1292	stan1289
138	Danish	bad	ɔn	ɔ n	2191	ɔn	916 107	1292	dani1285
139	Dutch_List	bad	slɛχt	s l ɛ χ t	181	slɛχt	89 554 1121 748 120	1292	dutc1256
140	English	bad	bæd	b æ d	2194	bæd	257 1087 145	1292	stan1293
141	French	bad	mɔvɛ	m ɔ v ɛ	852	mɔvɛ	241 916 451 1121	1292	stan1290
142	German	bad	ʃlɛçt	ʃ l ɛ ç t	181	ʃlɛçt	683 554 1121 583 120	1292	stan1295
143	Greek_Mod	bad	kako̞s	k a k o̞ s	1451	kaˈko̞s	838 997 838 878 89	1292	mode1248
144	Italian	bad	kattivo	k a tː i v o	2196	kat'tivo	838 997 130 1076 451 887	1292	ital1282
145	Marathi	bad	wa͜iːʈ	w a iː ʈ	3387	wa͜i:ʈ	462 997 1068 717	1292	mara1378
146	Polish	bad	zwɨ	z w ɨ	1197	zwɨ	80 462 983	1292	poli1260
147	Portuguese_ST	bad	maw	m a w	852	maw	241 997 462	1292	port1283
148	Russian	bad	ploxoj	p l o x o j	3388	plo'xoj	291 554 887 778 887 570	1292	russ1263
149	Spanish	bad	malo	m a l o	852	'malo	241 997 554 887	1292	stan1288
150	Swedish	bad	doː.lɪɡ	d oː l ɪ ɡ	2038	ˈdoː.lɪ(ɡ)	145 880 554 1110 831	1292	swed1254
151	Armenian_Mod	bad	vɑt	v ɑ t	2190	vɑt	451 952 120	1292	nucl1235
152	Bihari	bad	kʰərap	kʰ ə r a p	4	khərap	820 1022 153 997 291	1292	mait1250
153	Oriya	bad	kʰɔrapɔ	kʰ ɔ r a p ɔ	4	khɔrap(ɔ)	820 916 153 997 291 916	1292	oriy1255
154	Urdu	bad	bʊɾɑ	b ʊ ɾ ɑ	2553	bʊɾɑ	257 904 66 952	1292	urdu1245
155	Swedish	bad	und	u n d	2191	und	868 107 145	1292	swed1254
156	Swedish	bad	ʉːsəl	ʉː s ə l	2195	'ʉ:səl	966 89 1022 554	1292	swed1254
157	Urdu	bad	χəɾɑb	χ ə ɾ ɑ b	4	χəɾɑb	748 1022 66 952 257	1292	urdu1245
158	Czech	bad	zliː	z l iː	1197	zliː	80 554 1068	1292	czec1258
#
159	Czech	bark	kuːra	k uː r a	182	kuːra	838 860 153 997	1204	czec1258
160	Catalan	bark	əskɔrsə	ə s k ɔ r s ə	182	əs'kɔrsə	1022 89 838 916 153 89 1022	1204	stan1289
161	Breton_ST	bark	rysk	r y s k	971	rysk	153 1047 89 838	1204	bret1244
162	Danish	bark	b̥ɑːg̥ʰ	b̥ ɑː ɡ̥ʰ	1305	b̥ɑːg̥ʰ	283 954 812	1204	dani1285
163	Dutch_List	bark	sχɔrs	s χ ɔ r s	182	sχɔrs	89 748 916 153 89	1204	dutc1256
164	English	bark	bɑːk	b ɑː k	1305	bɑ:k	257 954 838	1204	stan1293
165	French	bark	ekɔʀs	e k ɔ ʀ s	182	ekɔʀs	1089 838 916 767 89	1204	stan1290
166	German	bark	rɪndə	r ɪ n d ə	1438	'rɪndə	153 1110 107 145 1022	1204	stan1295
167	Greek_Mod	bark	ðe̞ndro̞fluða	ð e̞ n d r o̞ f l u ð a	3390	ðe̞ˈ(n)dro̞fluˌða	419 1106 107 145 153 878 452 554 868 419 997	1204	mode1248
168	Italian	bark	skɔrdza	s k ɔ r d z a	182	'skɔrdza	89 838 916 153 145 80 997	1204	ital1282
169	Marathi	bark	sal	s a l	750	sal	89 997 554	1204	mara1378
170	Polish	bark	kɔra	k ɔ r a	182	ˈkɔra	838 916 153 997	1204	poli1260
171	Russian	bark	kora	k o r a	182	ko'ra	838 887 153 997	1204	russ1263
172	Spanish	bark	koɾteθa	k o ɾ t e θ a	182	koɾ'teθa	838 887 66 120 1089 417 997	1204	stan1288
173	Swedish	bark	bark	b a r k	1305	bark	257 997 153 838	1204	swed1254
174	Bihari	bark	cʰal	cʰ a l	750	chal	604 997 554	1204	mait1250
175	Oriya	bark	čheli	tʃ h e l i	750	čheli	651 405 1089 554 1076	1204	oriy1255
176	Oriya	bark	bɔkɔɭɔ	b ɔ k ɔ ɭ ɔ	1798	bɔkɔḷɔ	257 916 838 916 708 916	1204	oriy1255
177	Urdu	bark	ʧɑl	tʃ ɑ l	750	ʧɑl	651 952 554	1204	urdu1245
178	German	bark	bɔrkə	b ɔ r k ə	1305	'bɔrkə	257 916 153 838 1022	1204	stan1295
179	Italian	bark	kortetʧa	k o r t e t tʃ a	182	kor'tettʃa	838 887 153 120 1089 120 651 997	1204	ital1282
180	Armenian_Mod	bark	kɛʁɛv	k ɛ ʁ ɛ v	570	kɛˈʁɛv	838 1121 739 1121 451	1204	nucl1235
181	Portuguese_ST	bark	kaʃkɐ	k a ʃ k ɐ	182	ˈkaʃkɐ	838 997 683 838 986	1204	port1283
#
182	German	because	vail	v ai l	1439	va‿il	451 1037 554	1157	stan1295
183	Breton_ST	because	pɛgwiːr	p ɛ ɡ w iː r	3392	pɛ'gwi:r	291 1121 831 462 1068 153	1157	bret1244
184	Marathi	because	kaɾəɳ	k a ɾ ə ɳ	751	'kaɾəɳ	838 997 66 1022 711	1157	mara1378
185	Swedish	because	emeːdan	e m eː d a n	2100	e'me:dan	1089 241 1091 145 997 107	1157	swed1254
186	Armenian_Mod	because	voɾovhɛtɛv	v o ɾ o v h ɛ t ɛ v	3393	voɾovhɛˈtɛv	451 887 66 887 451 405 1121 120 1121 451	1157	nucl1235
187	English	because	bɪkɒz	b ɪ k ɒ z	1341	bɪkɒz	257 1110 838 900 80	1157	stan1293
188	Oriya	because	karɔɳɔ	k a r ɔ ɳ ɔ	751	karɔṇɔ	838 997 153 916 711 916	1157	oriy1255
189	Oriya	because	hetu	h e t u	3397	hetu	405 1089 120 868	1157	oriy1255
190	Oriya	because	jogu	j o ɡ u	3398	jogu	570 887 831 868	1157	oriy1255
191	Oriya	because	boli	b o l i	3399	boli	257 887 554 1076	1157	oriy1255
192	Urdu	because	kjuː#ke	k j uː _ k e	1660	kjũ ke	838 570 860 1190 838 1089	1157	urdu1245
193	Polish	because	bɔ	b ɔ	2096	bɔ	257 916	1157	poli1260
194	Greek_Mod	because	ðio̞ti	ð i o̞ t i	3580	ˌðiˈo̞ti	419 1076 878 120 1076	1157	mode1248
#
195	Czech	belly	br̝ɪxo	b r ɪ x o	1218	br̝ɪxo	257 153 1110 778 887	1251	czec1258
196	English	belly	bɛlɪ	b ɛ l ɪ	184	bɛlɪ	257 1121 554 1110	1251	stan1293
197	Breton_ST	belly	koːf	k oː f	973	ko:f	838 880 452	1251	bret1244
198	Catalan	belly	bentrə	b e n t r ə	854	'bentrə	257 1089 107 120 153 1022	1251	stan1289
199	Danish	belly	b̥u	b̥ u	184	b̥u	283 868	1251	dani1285
200	Dutch_List	belly	bœyk	b œi k	184	bœyk	257 1063 838	1251	dutc1256
201	French	belly	vɑ̃tʀ	v ɑ̃ t ʀ	854	vɑ̃tʀ	451 951 120 767	1251	stan1290
202	German	belly	baux	b au x	184	ba‿ux	257 1033 778	1251	stan1295
203	Greek_Mod	belly	ciʎa	c i ʎ a	1454	ciˈʎa	606 1076 588 997	1251	mode1248
204	Italian	belly	vɛntre	v ɛ n t r e	854	'vɛntre	451 1121 107 120 153 1089	1251	ital1282
205	Marathi	belly	poʈ	p o ʈ	752	poʈ	291 887 717	1251	mara1378
206	Polish	belly	bʒux	b ʒ u x	1218	bʒux	257 685 868 778	1251	poli1260
207	Portuguese_ST	belly	vẽtɾɨ	v ẽ t ɾ ɨ	854	ˈvẽtɾɨ	451 1090 120 66 983	1251	port1283
208	Russian	belly	zivot	z i v o t	2238	zi'vot	80 1076 451 887 120	1251	russ1263
209	Swedish	belly	bʉːk	b ʉː k	184	bʉ:k	257 966 838	1251	swed1254
210	Bihari	belly	peʈ	p e ʈ	752	peʈ	291 1089 717	1251	mait1250
211	Oriya	belly	peʈɔ	p e ʈ ɔ	752	peṭɔ	291 1089 717 916	1251	oriy1255
212	Urdu	belly	peʈ	p e ʈ	752	peʈ	291 1089 717	1251	urdu1245
213	Spanish	belly	bariɣa	b a r i ɣ a	3610	ba'riɣa	257 997 153 1076 780 997	1251	stan1288
214	Portuguese_ST	belly	bɐʁiɣɐ	b ɐ ʁ i ɣ ɐ	3634	bɐˈʁiɣɐ	257 986 739 1076 780 986	1251	port1283
215	Catalan	belly	panʃə	p a n ʃ ə	3167	'panʃə, 'pantʃa	291 997 107 683 1022	1251	stan1289
#
216	Armenian_Mod	big	mɛʦ	m ɛ ts	360	mɛʦ	241 1121 15	1202	nucl1235
217	Czech	big	vɛlkiː	v ɛ l k iː	1219	vɛlkiː	451 1121 554 838 1068	1202	czec1258
218	Breton_ST	big	bʁaz	b ʁ a z	855	bʁaz	257 739 997 80	1202	bret1244
219	Catalan	big	gran	ɡ r a n	855	gran	831 153 997 107	1202	stan1289
220	Danish	big	sd̥ʰoɐ̯	s d̥ʰ o ɐ̯	2203	ˈsd̥ʰoɐ̯	89 118 887 985	1202	dani1285
221	Dutch_List	big	ɣrot	ɣ r o t	185	ɣrot	780 153 887 120	1202	dutc1256
222	English	big	bɪg	b ɪ ɡ	1342	bɪg	257 1110 831	1202	stan1293
223	French	big	gʀɑ̃	ɡ ʀ ɑ̃	855	gʀɑ̃	831 767 951	1202	stan1290
224	German	big	groːs	ɡ r oː s	185	gro:s	831 153 880 89	1202	stan1295
225	Greek_Mod	big	me̞ɣalo̞s	m e̞ ɣ a l o̞ s	360	me̞ˈɣalo̞s	241 1106 780 997 554 878 89	1202	mode1248
226	Italian	big	grande	ɡ r a n d e	855	'grande	831 153 997 107 145 1089	1202	ital1282
227	Marathi	big	moʈʰə	m o ʈʰ ə	1593	'moʈʰə	241 887 725 1022	1202	mara1378
228	Polish	big	vʲɛlkʲi	vʲ ɛ l kʲ i	1219	ˈvʲɛlkʲi	434 1121 554 837 1076	1202	poli1260
229	Portuguese_ST	big	ɡɾɐ̃ðɨ	ɡ ɾ ɐ̃ ð ɨ	855	ˈɡɾɐ̃ðɨ	831 66 987 419 983	1202	port1283
230	Russian	big	bolʲʃoj	b o lʲ ʃ o j	3394	bolʲ'ʃoj	257 887 546 683 887 570	1202	russ1263
231	Spanish	big	ɡɾande	ɡ ɾ a n d e	855	'ɡɾande	831 66 997 107 145 1089	1202	stan1288
232	Swedish	big	gruːv	ɡ r uː v	185	gru:v	831 153 860 451	1202	swed1254
233	Bihari	big	nəmhər	n ə m h ə r	3396	nəmhər	107 1022 241 405 1022 153	1202	mait1250
234	Oriya	big	bɔɽɔ	b ɔ ɽ ɔ	753	bɔṛɔ	257 916 703 916	1202	oriy1255
235	Urdu	big	bəɽɛ	b ə ɽ ɛ	753	bəɽɛ	257 1022 703 1121	1202	urdu1245
236	Russian	big	velikij	v e l i k i j	1219	ve'likij	451 1089 554 1076 838 1076 570	1202	russ1263
237	Breton_ST	big	møʁ	m ø ʁ	3572	møʁ	241 1052 739	1202	bret1244
238	Catalan	big	ʎaɾk	ʎ a ɾ k	3668	ʎaɾk	588 997 66 838	1202	stan1289
#
239	Armenian_Mod	bird	tʰərʧʰun	tʰ ə r tʃʰ u n	571	tʰərˈʧʰun	138 1022 153 661 868 107	937	nucl1235
240	Czech	bird	ptaːk	p t aː k	1109	ptaːk	291 120 1004 838	937	czec1258
241	Breton_ST	bird	ẽwn	ẽ w n	974	'ẽwn	1090 462 107	937	bret1244
242	Catalan	bird	useʎ	u s e ʎ	856	u'seʎ	868 89 1089 588	937	stan1289
243	Danish	bird	ful	f u l	186	ful	452 868 554	937	dani1285
244	Dutch_List	bird	voɣəl	v o ɣ ə l	186	'voɣəl	451 887 780 1022 554	937	dutc1256
245	English	bird	bɜːd	b ɜː d	3395	bɜ:d	257 1017 145	937	stan1293
246	French	bird	wazo	w a z o	856	wazo	462 997 80 887	937	stan1290
247	German	bird	foːgl̩	f oː ɡ l̩	186	'fo:gl̩	452 880 831 543	937	stan1295
248	Greek_Mod	bird	puli	p u l i	1455	pu'li	291 868 554 1076	937	mode1248
249	Italian	bird	utʧɛllo	u t tʃ ɛ lː o	856	ut'tʃɛllo	868 120 651 1121 545 887	937	ital1282
250	Marathi	bird	pəkʂi	p ə k ʂ i	754	pək'ʂi	291 1022 838 705 1076	937	mara1378
251	Polish	bird	ptak	p t a k	1109	ptak	291 120 997 838	937	poli1260
252	Portuguese_ST	bird	avɨ	a v ɨ	856	ˈavɨ	997 451 983	937	port1283
253	Russian	bird	ptitsa	p t i t s a	1109	'ptitsa	291 120 1076 120 89 997	937	russ1263
254	Swedish	bird	foːgəl	f oː ɡ ə l	186	'fo:gəl	452 880 831 1022 554	937	swed1254
255	Bihari	bird	cirəi	c i r əi	2204	cirəi	606 1076 153 1042	937	mait1250
256	Oriya	bird	pɔkʰi	p ɔ kʰ i	754	pɔkhi	291 916 820 1076	937	oriy1255
