ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_COGNATE_CLASS	PARTIAL	PARTIALID	CLPA	CONCEPTICON_ID	GLOTTOLOG
1924	Guiyang	a while	fen⁵⁵ʦoŋ⁵⁵	f e n ⁵⁵ ts o ŋ ⁵⁵	83	听一分钟	分钟	1077 1078	452 1089 107 1189 15 887 801 1189	726	mand1415
1925	Xiamen	a while	tʰjã⁵⁵ʦit⁵tjap³²ba⁵³ku	t j a p ³² b a ⁵³ k u	84	听一辄仔久	辄仔久	1079 1080 1081	120 570 997 291 1159 257 997 1185 838 868	726	minn1241
1926	Xiamen	a while	tʰjã⁵⁵tam²²poʔ⁵a⁵³ku⁵³	t a m ²² p o ʔ ⁵ a ⁵³ k u ⁵³	86	听淡薄仔久	淡薄仔久	1082 1083 1080 1081	120 997 241 1150 291 887 409 1183 997 1185 838 868 1185	726	minn1241
1927	Hefei	a while	ɕi²⁴kʰɐʔ⁵ʦə	ɕ i ²⁴ kʰ ɐ ʔ ⁵ ts ə	87	听一小刻子	小刻子	1084 1085 1075	204 1076 1156 820 986 409 1183 15 1022	726	mand1415
1928	Hefei	a while	ʂɐʔ⁵	ʂ ɐ ʔ ⁵	88	听一霎子	霎	1086	705 986 409 1183	726	mand1415
1929	Jinan	a while	xwer²¹	x w e r ²¹	89	听一会儿	会	1087	778 462 1089 153 1152	726	mand1415
1930	Hangzhou	a while	ɕjəʔ⁵əl	ɕ j ə ʔ ⁵ ə l	91	听一歇儿	歇儿	1088 1089	204 570 1022 409 1183 1022 554	726	wuch1236
1931	Guangzhou	a while	ʦɐn²²	ts ɐ n ²²	81	听一阵	阵	1076	15 986 107 1150	726	yuec1235
1932	Nanchang	a while	ha²¹ʦɿ⁰²	h a ²¹ ts ɿ ⁰²	80	听一下子	下子	1074 1075	405 997 1152 15 945 1172	726	ganc1239
1933	Chengdu	a while	xər⁵⁵	x ə r ⁵⁵	78	听下儿	下	1074	778 1022 153 1189	726	mand1415
1934	Taoyuan	a while	ʦəŋ⁴⁵ʦəŋ⁴⁵	ts ə ŋ ⁴⁵ ts ə ŋ ⁴⁵	82	听一阵阵	阵阵	1076 1076	15 1022 801 1181 15 1022 801 1181	726	hakk1236
1935	Shexian	a while	xã	x ã ∼	78	听一下儿	下	1074	778 1014 1191	726	hui1242
1936	Beijing	a while	i⁵⁵xwər²¹⁴	x w ə r ²¹⁴	89	一会儿	会	1087	778 462 1022 153 1155	726	mand1415
1937	Kunming	a while	xᴀ²¹²	x a ²¹²	78	听一小下	下	1074	778 997 1153	726	mand1415
1938	Shanghai	a while	ɕjɪʔ⁵	ɕ j ɪ ʔ ⁵	90	听一歇	歇	1088	204 570 1110 409 1183	726	wuch1236
#
2444	Meixian	and	tʰuŋ¹¹	tʰ u ŋ ¹¹	268	同	同	1266	138 868 801 1169	1577	hakk1236
2445	Changsha	and	kən³³	k ə n ³³	270	跟	跟	1267	838 1022 107 1161	1577	xian1251
2446	Guiyang	and	xo²¹	x o ²¹	272	和	和	1268	778 887 1152	1577	mand1415
2447	Guiyang	and	xo²¹ta⁴²	x o ²¹ t a ⁴²	273	和倒	和倒	1268 1269	778 887 1152 120 997 1175	1577	mand1415
2448	Guiyang	and	ʦʰan⁵⁵	tsʰ a n ⁵⁵	277	参	参	1270	13 997 107 1189	1577	mand1415
2449	Guiyang	and	ʦʰan⁵⁵ta⁴²	tsʰ a n ⁵⁵ t a ⁴²	278	参倒	参倒	1270 1269	13 997 107 1189 120 997 1175	1577	mand1415
2450	Xiamen	and	kap³²	k a p ³²	279	合	合	1271	838 997 291 1159	1577	minn1241
2451	Hefei	and	kən²¹	k ə n ²¹	270	跟	跟	1267	838 1022 107 1152	1577	mand1415
2452	Jinan	and	xə⁴²	x ə ⁴²	272	和	和	1268	778 1022 1175	1577	mand1415
2453	Jinan	and	kẽ²¹³	k ẽ ∼ ²¹³	270	跟	跟	1267	838 1090 1191 1154	1577	mand1415
2454	Jinan	and	ʨi⁴²	tɕ i ⁴²	280	给	给	1272	200 1076 1175	1577	mand1415
2455	Hangzhou	and	tɑʔ⁵	t ɑ ʔ ⁵	281	搭	搭	1273	120 952 409 1183	1577	wuch1236
2456	Hangzhou	and	doŋ²¹³	d o ŋ ²¹³	268	同	同	1266	145 887 801 1154	1577	wuch1236
2457	Guangzhou	and	tʰoŋ²¹	tʰ o ŋ ²¹	268	同	同	1266	138 887 801 1152	1577	yuec1235
2458	Guangzhou	and	tʰoŋ²¹maj²¹	tʰ o ŋ ²¹ m a j ²¹	269	同埋	同埋	1266 1274	138 887 801 1152 241 997 570 1152	1577	yuec1235
2459	Guangzhou	and	pɔŋ⁵⁵	p ɔ ŋ ⁵⁵	282	帮	帮	1275	291 916 801 1189	1577	yuec1235
2460	Guangzhou	and	pɔŋ⁵³maj²¹	p ɔ ŋ ⁵³ m a j ²¹	283	帮埋	帮埋	1275 1274	291 916 801 1185 241 997 570 1152	1577	yuec1235
2461	Nanchang	and	kjɛn⁴²	k j ɛ n ⁴²	270	跟	跟	1267	838 570 1121 107 1175	1577	ganc1239
2462	Nanchang	and	kjɛn⁴²tɑw⁰²	k j ɛ n ⁴² t ɑ w ⁰²	271	跟到	跟到	1267 1276	838 570 1121 107 1175 120 952 462 1172	1577	ganc1239
2463	Chengdu	and	xo³¹	x o ³¹	272	和	和	1268	778 887 1162	1577	mand1415
2464	Chengdu	and	kən⁵⁵	k ə n ⁵⁵	270	跟	跟	1267	838 1022 107 1189	1577	mand1415
2465	Chengdu	and	tʰoŋ³¹	tʰ o ŋ ³¹	268	同	同	1266	138 887 801 1162	1577	mand1415
2466	Taoyuan	and	xwɤ¹¹	x w ɤ ¹¹	272	和	和	1268	778 462 947 1169	1577	hakk1236
2467	Taoyuan	and	kəŋ¹¹	k ə ŋ ¹¹	270	跟	跟	1267	838 1022 801 1169	1577	hakk1236
2468	Shexian	and	taʔ²¹	t a ʔ ²¹	281	搭	搭	1273	120 997 409 1152	1577	hui1242
2469	Beijing	and	xɤ³⁵	x ɤ ³⁵	272	和	和	1268	778 947 1165	1577	mand1415
2470	Beijing	and	kən⁵⁵	k ə n ⁵⁵	270	跟	跟	1267	838 1022 107 1189	1577	mand1415
2471	Kunming	and	æ⁴⁴	æ ⁴⁴	284	挨	挨	1277	1087 1178	1577	mand1415
2472	Kunming	and	tᴀ³¹	t a ³¹	281	搭	搭	1273	120 997 1162	1577	mand1415
2473	Shanghai	and	taʔ⁵	t a ʔ ⁵	281	搭	搭	1273	120 997 409 1183	1577	wuch1236
2474	Shanghai	and	kɔ³⁵	k ɔ ³⁵	285	教	教	1278	838 916 1165	1577	wuch1236
#
1401	Meixian	become sick	pot¹pʰjaŋ⁵³	p o t ¹ pʰ j a ŋ ⁵³	938	发病	发病	738 739	291 887 120 1166 264 570 997 801 1185	1847	hakk1236
1402	Changsha	become sick	pin¹¹ta	p i n ¹¹ t a	939	病哒	病哒	739 740	291 1076 107 1169 120 997	1847	xian1251
1403	Guiyang	become sick	sen⁵⁵pin²¹³əw²¹³	s e n ⁵⁵ p i n ²¹³ ə w ²¹³	946	生病了	生病了	741 739 742	89 1089 107 1189 291 1076 107 1154 1022 462 1154	1847	mand1415
1404	Guiyang	become sick	pu²¹su⁵⁵fu²¹	p u ²¹ s u ⁵⁵ f u ²¹	948	不舒服	不舒服	743 744 745	291 868 1152 89 868 1189 452 868 1152	1847	mand1415
1405	Xiamen	become sick	pʰwa²¹pĩ²²	pʰ w a ²¹ p ĩ ∼ ²²	957	破病	破病	746 739	264 462 997 1152 291 1078 1191 1150	1847	minn1241
1406	Xiamen	become sick	kan⁵⁵kʰɔ⁵³	k a n ⁵⁵ kʰ ɔ ⁵³	958	艰苦	艰苦	747 748	838 997 107 1189 820 916 1185	1847	minn1241
1407	Hefei	become sick	pəʔ⁵xɔ²⁴kʊ⁵³	p ə ʔ ⁵ x ɔ ²⁴ k ʊ ⁵³	953	不好过	不好过	743 749 750	291 1022 409 1183 778 916 1156 838 904 1185	1847	mand1415
1408	Hefei	become sick	pəʔ⁵t͡ʂʰən²¹tʰæ̃	p ə ʔ ⁵ ʈʂʰ ə n ²¹ tʰ æ̃ ∼	954	不伸坦	不伸坦	743 751 752	291 1022 409 1183 697 1022 107 1152 138 1086 1191	1847	mand1415
1409	Jinan	become sick	t͡ʂaŋ⁵⁵piŋ²¹	ʈʂ a ŋ ⁵⁵ p i ŋ ²¹	959	长病	长病	753 739	699 997 801 1189 291 1076 801 1152	1847	mand1415
1410	Jinan	become sick	piŋ⁴²lja	p i ŋ ⁴² l j a	941	病唡	病唡	739 754	291 1076 801 1175 554 570 997	1847	mand1415
1411	Jinan	become sick	pu²¹³ytʰjə	p u ²¹³ y ⁰ tʰ j ə	955	不熨贴	不熨贴	743 755 756	291 868 1154 1047 1171 138 570 1022	1847	mand1415
1412	Jinan	become sick	pu²¹³ʂu²¹³tʰã	p u ²¹³ ʂ u ²¹³ tʰ ã ∼	950	不舒坦	不舒坦	743 744 752	291 868 1154 705 868 1154 138 1014 1191	1847	mand1415
1413	Jinan	become sick	pu²¹³xɔ	p u ²¹³ x ɔ	951	不好	不好	743 749	291 868 1154 778 916	1847	mand1415
1414	Hangzhou	become sick	sen³³bin¹³tə	s e n ³³ b i n ¹³ t ə	947	生病得	生病得	741 739 757	89 1089 107 1161 257 1076 107 1168 120 1022	1847	wuch1236
1415	Guangzhou	become sick	pɛŋ²²ʦɔ³⁵	p ɛ ŋ ²² ts ɔ ³⁵	942	病咗	病咗	739 758	291 1121 801 1150 15 916 1165	1847	yuec1235
1416	Guangzhou	become sick	m̩²¹ʦi²²jin²¹	m̩ ²¹ ts i ²² j i n ²¹	960	唔自然	唔自然	759 760 761	235 1152 15 1076 1150 570 1076 107 1152	1847	yuec1235
1417	Nanchang	become sick	pʰjɑŋ²¹ljɛwiɛu⁰²	pʰ j ɑ ŋ ²¹ l j ɛ w ⁰²	940	病了	病了	739 742	264 570 952 801 1152 554 570 1121 462 1172	1847	ganc1239
1418	Chengdu	become sick	pin¹³no⁵³	p i n ¹³ n o ⁵³	940	病了	病了	739 742	291 1076 107 1168 107 887 1185	1847	mand1415
1419	Chengdu	become sick	pu³¹su⁵⁵fu³¹no⁵³	p u ³¹ s u ⁵⁵ f u ³¹ n o ⁵³	949	不舒服了	不舒服了	743 744 745 742	291 868 1162 89 868 1189 452 868 1162 107 887 1185	1847	mand1415
1420	Chengdu	become sick	pu³¹ŋan⁵⁵i¹³no⁵³	p u ³¹ ŋ a n ⁵⁵ i ¹³ n o ⁵³	956	不安逸了	不安逸了	743 762 763 742	291 868 1162 801 997 107 1189 1076 1168 107 887 1185	1847	mand1415
1421	Taoyuan	become sick	pi⁴⁵lje⁵³	p i ⁴⁵ l j e ⁵³	943	病咧	病咧	739 764	291 1076 1181 554 570 1089 1185	1847	hakk1236
1422	Shexian	become sick	xɛ²²pʰjʌ̃	x ɛ ²² pʰ j ʌ̃ ∼	962	害病	害病	765 739	778 1121 1150 264 570 957 1191	1847	hui1242
1423	Shexian	become sick	pu²¹xɔ³⁵ko	p u ²¹ x ɔ ³⁵ k o	953	不好过	不好过	743 749 750	291 868 1152 778 916 1165 838 887	1847	hui1242
1424	Beijing	become sick	piŋ⁵¹lə¹	p i ŋ ⁵¹ l ə ¹	940	病了	病了	739 742	291 1076 801 1186 554 1022 1166	1847	mand1415
1425	Kunming	become sick	pĩ²¹²lə⁵³	p ĩ ∼ ²¹² l ə ⁵³	940	病了	病了	739 742	291 1078 1191 1153 554 1022 1185	1847	mand1415
1426	Kunming	become sick	pu³¹xɔ⁵³lə⁵³	p u ³¹ x ɔ ⁵³ l ə ⁵³	952	不好了	不好了	743 749 742	291 868 1162 778 916 1185 554 1022 1185	1847	mand1415
1427	Shanghai	become sick	sã⁵³biŋ¹³	s ã ∼ ⁵³ b i ŋ ¹³	945	生病	生病	741 739	89 1014 1191 1185 257 1076 801 1168	1847	wuch1236
#
445	Meixian	bedbug	kon⁴⁴pʰi⁴⁴	k o n ⁴⁴ pʰ i ⁴⁴	420	乾蜱	乾蜱	206 207	838 887 107 1178 264 1076 1178	1949	hakk1236
446	Changsha	bedbug	t͡ʂʰəw⁵⁵t͡ʂoŋ¹³	ʈʂʰ ə w ⁵⁵ ʈʂ o ŋ ¹³	421	臭虫	臭虫	208 209	697 1022 462 1189 699 887 801 1168	1949	xian1251
447	Changsha	bedbug	ɕjan³³ku³³ȵjan¹³	ɕ j a n ³³ k u ³³ nʲ j a n ¹³	422	香姑娘	香姑娘	210 211 212	204 570 997 107 1161 838 868 1161 101 570 997 107 1168	1949	xian1251
448	Guiyang	bedbug	ʦʰəw²¹³ʦʰoŋ²¹	tsʰ ə w ²¹³ tsʰ o ŋ ²¹	421	臭虫	臭虫	208 209	13 1022 462 1154 13 887 801 1152	1949	mand1415
449	Xiamen	bedbug	bat⁵sat³²	b a t ⁵ s a t ³²	423	木虱	木虱	213 214	257 997 120 1183 89 997 120 1159	1949	minn1241
450	Hefei	bedbug	t͡ʂʰɯ⁵³t͡ʂʰəŋ	ʈʂʰ ɯ ⁵³ ʈʂʰ ə ŋ	421	臭虫	臭虫	208 209	697 944 1185 697 1022 801	1949	mand1415
451	Jinan	bedbug	t͡ʂʰow²¹t͡ʂʰuŋ⁴²	ʈʂʰ o w ²¹ ʈʂʰ u ŋ ⁴²	421	臭虫	臭虫	208 209	697 887 462 1152 697 868 801 1175	1949	mand1415
452	Hangzhou	bedbug	ʦʰej⁴⁴⁵ʣoŋ²¹³	tsʰ e j ⁴⁴⁵ dz o ŋ ²¹³	421	臭虫	臭虫	208 209	13 1089 570 1180 20 887 801 1154	1949	wuch1236
453	Guangzhou	bedbug	mok²sɐt⁵	m o k ² s ɐ t ⁵	423	木虱	木虱	213 214	241 887 838 1149 89 986 120 1183	1949	yuec1235
454	Nanchang	bedbug	ʦʰɨw²¹³ʦʰuŋ⁰⁴	tsʰ ɨ w ²¹³ tsʰ u ŋ ⁰⁴	421	臭虫	臭虫	208 209	13 983 462 1154 13 868 801 1173	1949	ganc1239
455	Chengdu	bedbug	ʦʰəw¹³ʦʰoŋ³¹	tsʰ ə w ¹³ tsʰ o ŋ ³¹	421	臭虫	臭虫	208 209	13 1022 462 1168 13 887 801 1162	1949	mand1415
456	Taoyuan	bedbug	pjəʔ²səʔ²	p j ə ʔ ² s ə ʔ ²	424	壁虱	壁虱	215 214	291 570 1022 409 1149 89 1022 409 1149	1949	hakk1236
457	Shexian	bedbug	mɔ²²seʔ²¹	m ɔ ²² s e ʔ ²¹	423	木虱	木虱	213 214	241 916 1150 89 1089 409 1152	1949	hui1242
458	Shexian	bedbug	pi²¹seʔ²¹	p i ²¹ s e ʔ ²¹	424	壁虱	壁虱	215 214	291 1076 1152 89 1089 409 1152	1949	hui1242
459	Beijing	bedbug	t͡ʂʰow⁵¹t͡ʂʰuŋ¹	ʈʂʰ o w ⁵¹ ʈʂʰ u ŋ ¹	421	臭虫	臭虫	208 209	697 887 462 1186 697 868 801 1166	1949	mand1415
460	Kunming	bedbug	pi³¹sə³¹	p i ³¹ s ə ³¹	424	壁虱	壁虱	215 214	291 1076 1162 89 1022 1162	1949	mand1415
461	Shanghai	bedbug	ʦʰɤ³⁵zoŋ²³	tsʰ ɤ ³⁵ z o ŋ ²³	421	臭虫	臭虫	208 209	13 947 1165 80 887 801 1151	1949	wuch1236
462	Shanghai	bedbug	pjɪʔ⁵səʔ⁵	p j ɪ ʔ ⁵ s ə ʔ ⁵	425	瘪虱	瘪虱	216 214	291 570 1110 409 1183 89 1022 409 1183	1949	wuch1236
#
1352	Meixian	beggar	kaw⁵³fa⁵³ve	k a w ⁵³ f a ⁵³ v e	910	告化儿	告化儿	703 704 705	838 997 462 1185 452 997 1185 451 1089	1934	hakk1236
1353	Changsha	beggar	kaw⁵⁵fa⁵⁵ʦɿ	k a w ⁵⁵ f a ⁵⁵ ts ɿ	911	告化子	告化子	703 704 706	838 997 462 1189 452 997 1189 15 945	1934	xian1251
1354	Guiyang	beggar	ʨjao²¹³xwa²¹³ʦɿ⁴²	tɕ j a o ²¹³ x w a ²¹³ ts ɿ ⁴²	912	叫化子	叫化子	707 704 706	200 570 997 887 1154 778 462 997 1154 15 945 1175	1934	mand1415
1355	Guiyang	beggar	jao²¹³fan²¹³lɛ⁵⁵	j a o ²¹³ f a n ²¹³ l ɛ ⁵⁵	914	要饭的	要饭的	708 709 710	570 997 887 1154 452 997 107 1154 554 1121 1189	1934	mand1415
1356	Xiamen	beggar	kʰit³²ʦjaʔ⁵	kʰ i t ³² ts j a ʔ ⁵	919	乞食	乞食	711 712	820 1076 120 1159 15 570 997 409 1183	1934	minn1241
1357	Hefei	beggar	ʨjɔ⁵³xwa²¹ʦə	tɕ j ɔ ⁵³ x w a ²¹ ts ə	913	叫花子	叫花子	707 713 706	200 570 916 1185 778 462 997 1152 15 1022	1934	mand1415
1358	Jinan	beggar	jɔ²¹fã²¹ti	j ɔ ²¹ f ã ∼ ²¹ t i	914	要饭的	要饭的	708 709 710	570 916 1152 452 1014 1191 1152 120 1076	1934	mand1415
1359	Jinan	beggar	ʨjɔ²¹xwaʦɿ	tɕ j ɔ ²¹ x w a ⁰ ts ɿ	913	叫花子	叫花子	707 713 706	200 570 916 1152 778 462 997 1171 15 945	1934	mand1415
1360	Hangzhou	beggar	ʨjɔ⁴⁴⁵hwɑ⁴⁴⁵ʦɿ⁵³	tɕ j ɔ ⁴⁴⁵ h w ɑ ⁴⁴⁵ ts ɿ ⁵³	912	叫化子	叫化子	707 704 706	200 570 916 1180 405 462 952 1180 15 945 1185	1934	wuch1236
1361	Guangzhou	beggar	hɐt⁵ji²¹	h ɐ t ⁵ j i ²¹	918	乞儿	乞儿	711 705	405 986 120 1183 570 1076 1152	1934	yuec1235
1362	Nanchang	beggar	kɑw⁴⁵fɑ⁰⁴ʦɿ⁰⁴	k ɑ w ⁴⁵ f ɑ ⁰⁴ ts ɿ ⁰⁴	921	教化子	教化子	714 704 706	838 952 462 1181 452 952 1173 15 945 1173	1934	ganc1239
1363	Chengdu	beggar	ʨjaw¹³xwa⁵⁵ʦɿ⁵³	tɕ j a u ¹³ x w a ⁵⁵ ts ɿ ⁵³	913	叫花子	叫花子	707 713 706	200 570 997 868 1168 778 462 997 1189 15 945 1185	1934	mand1415
1364	Chengdu	beggar	jaw¹³fan¹³ni⁵⁵	j a u ¹³ f a n ¹³ n i ⁵⁵	914	要饭的	要饭的	708 709 710	570 997 868 1168 452 997 107 1168 107 1076 1189	1934	mand1415
1365	Chengdu	beggar	tʰaw⁵³kʰəw⁵³ʦɿ⁵³	tʰ a w ⁵³ kʰ ə w ⁵³ ts ɿ ⁵³	923	讨口子	讨口子	715 716 706	138 997 462 1185 820 1022 462 1185 15 945 1185	1934	mand1415
1366	Taoyuan	beggar	tʰaw⁵³ʦʰəʔ²ʦʰəʔ²	tʰ a w ⁵³ tsʰ ə ʔ ² tsʰ ə ʔ ²	924	讨吃吃	讨吃吃	715 717 717	138 997 462 1185 13 1022 409 1149 13 1022 409 1149	1934	hakk1236
1367	Taoyuan	beggar	jaw⁴⁵fæ̃⁴⁵təʔ	j a w ⁴⁵ f æ̃ ∼ ⁴⁵ t ə ʔ	914	要饭的	要饭的	708 709 710	570 997 462 1181 452 1086 1191 1181 120 1022 409	1934	hakk1236
1368	Taoyuan	beggar	ʨjaw⁴⁵xwa¹¹ʦəʔ	tɕ j a w ⁴⁵ x w a ¹¹ ts ə ʔ	913	叫花子	叫花子	707 713 706	200 570 997 462 1181 778 462 997 1169 15 1022 409	1934	hakk1236
1369	Shexian	beggar	tʰɔ³⁵fɛ²²ɛ	tʰ ɔ ³⁵ f ɛ ²² ɛ	922	讨饭唉	讨饭唉	715 709 718	138 916 1165 452 1121 1150 1121	1934	hui1242
1370	Beijing	beggar	jɑwiɑu⁵¹fan⁵¹tə¹	j ɑ u ⁵¹ f a n ⁵¹ t ə ¹	914	要饭的	要饭的	708 709 710	570 952 868 1186 452 997 107 1186 120 1022 1166	1934	mand1415
1371	Beijing	beggar	ʨjɑwiɑu⁵¹xwa⁵⁵ʦɿ²	tɕ j ɑ u ⁵¹ x w a ⁵⁵ ts ɿ ²	913	叫花子	叫花子	707 713 706	200 570 952 868 1186 778 462 997 1189 15 945 1149	1934	mand1415
1372	Kunming	beggar	xwᴀ⁴⁴ʦɿ⁵³	x w a ⁴⁴ ts ɿ ⁵³	920	花子	花子	713 706	778 462 997 1178 15 945 1185	1934	mand1415
1373	Kunming	beggar	jɔ²¹²fᴀ̃²¹²nə⁴⁴	j ɔ ²¹² f ã ∼ ²¹² n ə ⁴⁴	915	要饭呢	要饭呢	708 709 719	570 916 1153 452 1014 1191 1153 107 1022 1178	1934	mand1415
1374	Shanghai	beggar	kɔ³⁵ho³⁵ʦɿ³⁵	k ɔ ³⁵ h o ³⁵ ts ɿ ³⁵	912	叫化子	叫化子	707 704 706	838 916 1165 405 887 1165 15 945 1165	1934	wuch1236
#
178	Meixian	blow	hi³¹fuŋ⁴⁴	h i ³¹ f u ŋ ⁴⁴	944	起风	起风	74 75	405 1076 1162 452 868 801 1178	175	hakk1236
179	Changsha	blow	ʨʰi⁴¹xoŋ³³	tɕʰ i ⁴¹ x o ŋ ³³	944	起风	起风	74 75	199 1076 1177 778 887 801 1161	175	xian1251
180	Changsha	blow	fa²⁴xoŋ³³	f a ²⁴ x o ŋ ³³	961	发风	发风	76 75	452 997 1156 778 887 801 1161	175	xian1251
181	Guiyang	blow	ʦʰwej⁵⁵foŋ⁵⁵	tsʰ w e j ⁵⁵ f o ŋ ⁵⁵	966	吹风	吹风	77 75	13 462 1089 570 1189 452 887 801 1189	175	mand1415
182	Xiamen	blow	kʰi⁵³hɔŋ⁵⁵	kʰ i ⁵³ h ɔ ŋ ⁵⁵	944	起风	起风	74 75	820 1076 1185 405 916 801 1189	175	minn1241
183	Hefei	blow	ʦʰɿ²⁴fəŋ²¹	tsʰ ɿ ²⁴ f ə ŋ ²¹	944	起风	起风	74 75	13 945 1156 452 1022 801 1152	175	mand1415
184	Jinan	blow	kwa²¹³fəŋ²¹³	k w a ²¹³ f ə ŋ ²¹³	976	刮风	刮风	78 75	838 462 997 1154 452 1022 801 1154	175	mand1415
185	Hangzhou	blow	ʨʰi⁵³foŋ³³	tɕʰ i ⁵³ f o ŋ ³³	944	起风	起风	74 75	199 1076 1185 452 887 801 1161	175	wuch1236
186	Hangzhou	blow	kwɑʔ⁵foŋ³³	k w ɑ ʔ ⁵ f o ŋ ³³	976	刮风	刮风	78 75	838 462 952 409 1183 452 887 801 1161	175	wuch1236
187	Guangzhou	blow	fan⁵³foŋ⁵³	f a n ⁵³ f o ŋ ⁵³	1000	翻风	翻风	79 75	452 997 107 1185 452 887 801 1185	175	yuec1235
188	Guangzhou	blow	ta³⁵foŋ⁵³	t a ³⁵ f o ŋ ⁵³	1012	打风刮台风	打风	80 75	120 997 1165 452 887 801 1185	175	yuec1235
189	Nanchang	blow	ʨʰi²¹³fuŋ⁴²	tɕʰ i ²¹³ f u ŋ ⁴²	944	起风	起风	74 75	199 1076 1154 452 868 801 1175	175	ganc1239
190	Chengdu	blow	kwa³¹foŋ⁵⁵	k w a ³¹ f o ŋ ⁵⁵	976	刮风	刮风	78 75	838 462 997 1162 452 887 801 1189	175	mand1415
191	Chengdu	blow	ʨʰi⁵³foŋ⁵⁵	tɕʰ i ⁵³ f o ŋ ⁵⁵	944	起风	起风	74 75	199 1076 1185 452 887 801 1189	175	mand1415
192	Chengdu	blow	ʦʰwej⁵⁵foŋ⁵⁵	tsʰ w e j ⁵⁵ f o ŋ ⁵⁵	966	吹风	吹风	77 75	13 462 1089 570 1189 452 887 801 1189	175	mand1415
193	Taoyuan	blow	kwaʔ²fəŋ¹¹	k w a ʔ ² f ə ŋ ¹¹	976	刮风	刮风	78 75	838 462 997 409 1149 452 1022 801 1169	175	hakk1236
194	Shexian	blow	ʨʰi³⁵fʌ̃³¹	tɕʰ i ³⁵ f ʌ̃ ∼ ³¹	944	起风	起风	74 75	199 1076 1165 452 957 1191 1162	175	hui1242
195	Shexian	blow	fa²¹fʌ̃³¹	f a ²¹ f ʌ̃ ∼ ³¹	961	发风	发风	76 75	452 997 1152 452 957 1191 1162	175	hui1242
196	Beijing	blow	kwa⁵⁵fəŋ⁵⁵	k w a ⁵⁵ f ə ŋ ⁵⁵	976	刮风	刮风	78 75	838 462 997 1189 452 1022 801 1189	175	mand1415
197	Kunming	blow	kwᴀ³¹foŋ⁴⁴	k w a ³¹ f o ŋ ⁴⁴	976	刮风	刮风	78 75	838 462 997 1162 452 887 801 1178	175	mand1415
198	Kunming	blow	ʨʰi⁵³foŋ⁴⁴	tɕʰ i ⁵³ f o ŋ ⁴⁴	944	起风	起风	74 75	199 1076 1185 452 887 801 1178	175	mand1415
199	Shanghai	blow	ʨʰi³⁵foŋ⁵³	tɕʰ i ³⁵ f o ŋ ⁵³	944	起风	起风	74 75	199 1076 1165 452 887 801 1185	175	wuch1236
200	Shanghai	blow	kwaʔ⁵foŋ⁵³	k w a ʔ ⁵ f o ŋ ⁵³	976	刮风	刮风	78 75	838 462 997 409 1183 452 887 801 1185	175	wuch1236
#
