ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA	CONCEPTICON_ID	GLOTTOLOG
1400	Kyōto	at	de	d e	313	145 1089	1461	kyot1238
1401	Hachijō	at	de	d e	313	145 1089	1461	hach1238
1402	Shuri	at	uti	u t i	313	868 120 1076	1461	shur1243
1403	Kōchi	at	de	d e	313	145 1089	1461	shik1243
1404	Sado	at	de	d e	313	145 1089	1461	sado1237
1405	Oki	at	de	d e	313	145 1089	1461	
1406	Kagoshima	at	de	d e	313	145 1089	1461	kyus1238
#
1249	Tōkyō	back	senaka	s e n a k a	283	89 1089 107 997 838 997	1291	toky1238
1250	Amami	back	xusi	x u s i	284	778 868 89 1076	1291	naze1238
1251	Kyōto	back	senaka	s e n a k a	283	89 1089 107 997 838 997	1291	kyot1238
1252	Hachijō	back	hedaka	h e d a k a	282	405 1089 145 997 838 997	1291	hach1238
1253	Shuri	back	nagani	n a ɡ a n i	285	107 997 831 997 107 1076	1291	shur1243
1254	Kōchi	back	senaka	s e n a k a	283	89 1089 107 997 838 997	1291	shik1243
1255	Sado	back	senaka	s e n a k a	283	89 1089 107 997 838 997	1291	sado1237
1256	Oki	back	sena	s e n a	283	89 1089 107 997	1291	
1257	Kagoshima	back	senaka	s e n a k a	283	89 1089 107 997 838 997	1291	kyus1238
#
1641	Miyako	bad	fusaritam	f u s a r i t a m	379	452 868 89 997 153 1076 120 997 241	1292	miya1259
1642	Tōkyō	bad	kusatːa	k u s a tː a	379	838 868 89 997 130 997	1292	toky1238
1643	Amami	bad	kusareθa	k u s a r e θ a	379	838 868 89 997 153 1089 417 997	1292	naze1238
1644	Kyōto	bad	kusatːa	k u s a tː a	379	838 868 89 997 130 997	1292	kyot1238
1645	Hachijō	bad	kusarua	k u s a r ua	379	838 868 89 997 153 930	1292	hach1238
1646	Shuri	bad	kuʦːoːru	k u tːs oː r u	379	838 868 26 880 153 868	1292	shur1243
1647	Kōchi	bad	kusatːa	k u s a tː a	379	838 868 89 997 130 997	1292	shik1243
1648	Sado	bad	kusatːa	k u s a tː a	379	838 868 89 997 130 997	1292	sado1237
1649	Oki	bad	kusatːa	k u s a tː a	379	838 868 89 997 130 997	1292	
1650	Kagoshima	bad	kesːareta	k e sː a r e t a	379	838 1089 72 997 153 1089 120 997	1292	kyus1238
#
231	Miyako	bark (of tree)	kaː	k aː	65	838 1004	1204	miya1259
232	Tōkyō	bark (of tree)	kawa	k a w a	65	838 997 462 997	1204	toky1238
233	Amami	bark (of tree)	xɨɴxo	x ɨ ɴ x o	66	778 983 751 778 887	1204	naze1238
234	Kyōto	bark (of tree)	kawa	k a w a	65	838 997 462 997	1204	kyot1238
235	Hachijō	bark (of tree)	kua	k ua	65	838 930	1204	hach1238
236	Shuri	bark (of tree)	kaː	k aː	65	838 1004	1204	shur1243
237	Kōchi	bark (of tree)	kawa	k a w a	65	838 997 462 997	1204	shik1243
238	Sado	bark (of tree)	kawa	k a w a	65	838 997 462 997	1204	sado1237
239	Oki	bark (of tree)	kawa	k a w a	65	838 997 462 997	1204	
240	Kagoshima	bark (of tree)	kawa	k a w a	65	838 997 462 997	1204	kyus1238
#
482	Miyako	belly	bata	b a t a	113	257 997 120 997	1251	miya1259
483	Tōkyō	belly	onaka	o n a k a	112	887 107 997 838 997	1251	toky1238
484	Amami	belly	waθa	w a θ a	113	462 997 417 997	1251	naze1238
485	Kyōto	belly	hara	h a r a	111	405 997 153 997	1251	kyot1238
486	Hachijō	belly	hara	h a r a	111	405 997 153 997	1251	hach1238
487	Shuri	belly	wata	w a t a	113	462 997 120 997	1251	shur1243
488	Kōchi	belly	hara	h a r a	111	405 997 153 997	1251	shik1243
489	Sado	belly	hara	h a r a	111	405 997 153 997	1251	sado1237
490	Oki	belly	ɸara	ɸ a r a	111	226 997 153 997	1251	
491	Kagoshima	belly	hara	h a r a	111	405 997 153 997	1251	kyus1238
#
121	Miyako	big	uku	u k u	38	868 838 868	1202	miya1259
122	Tōkyō	big	oːkiː	oː k iː	38	880 838 1068	1202	toky1238
123	Amami	big	hwɨsːari	h w ɨ sː a r i	40	405 462 983 72 997 153 1076	1202	naze1238
124	Kyōto	big	oːkiː	oː k iː	38	880 838 1068	1202	kyot1238
125	Hachijō	big	boːkʲa	b oː kʲ a	37	257 880 837 997	1202	hach1238
126	Shuri	big	magisaɴ	m a ɡ i s a ɴ	41	241 997 831 1076 89 997 751	1202	shur1243
127	Kōchi	big	hutoi	h u t oi	39	405 868 120 935	1202	shik1243
128	Sado	big	oːkiː	oː k iː	38	880 838 1068	1202	sado1237
129	Oki	big	ɸuteː	ɸ u t eː	39	226 868 120 1091	1202	
130	Kagoshima	big	hute	h u t e	39	405 868 120 1089	1202	kyus1238
#
191	Miyako	bird	tui	t ui	60	120 936	937	miya1259
192	Tōkyō	bird	tori	t o r i	60	120 887 153 1076	937	toky1238
193	Amami	bird	θuri	θ u r i	60	417 868 153 1076	937	naze1238
194	Kyōto	bird	tori	t o r i	60	120 887 153 1076	937	kyot1238
195	Hachijō	bird	torime	t o r i m e	60	120 887 153 1076 241 1089	937	hach1238
196	Shuri	bird	tui	t ui	60	120 936	937	shur1243
197	Kōchi	bird	tori	t o r i	60	120 887 153 1076	937	shik1243
198	Sado	bird	tori	t o r i	60	120 887 153 1076	937	sado1237
199	Oki	bird	tori	t o r i	60	120 887 153 1076	937	
200	Kagoshima	bird	toiː	t o iː	60	120 887 1068	937	kyus1238
#
550	Miyako	bite	fuː	f uː	127	452 860	1403	miya1259
551	Tōkyō	bite	kamiʦuku	k a m i ts u k u	128	838 997 241 1076 15 868 838 868	1403	toky1238
552	Amami	bite	kuiʦɨkɨruri	k ui ts ɨ k ɨ r u r i	126	838 936 15 983 838 983 153 868 153 1076	1403	naze1238
553	Kyōto	bite	kamiʦuku	k a m i ts u k u	128	838 997 241 1076 15 868 838 868	1403	kyot1238
554	Hachijō	bite	kuiʦuku	k ui ts u k u	126	838 936 15 868 838 868	1403	hach1238
555	Shuri	bite	kuːjuɴ	k uː j u ɴ	126	838 860 570 868 751	1403	shur1243
556	Kōchi	bite	kuituku	k ui t u k u	126	838 936 120 868 838 868	1403	shik1243
557	Sado	bite	kamiʦuku	k a m i ts u k u	128	838 997 241 1076 15 868 838 868	1403	sado1237
558	Oki	bite	kamu	k a m u	128	838 997 241 868	1403	
559	Kagoshima	bite	kaɴʦu	k a ɴ ts u	128	838 997 751 15 868	1403	kyus1238
#
900	Miyako	black	fu	f u	195	452 868	163	miya1259
901	Tōkyō	black	kuroi	k u r oi	195	838 868 153 935	163	toky1238
902	Amami	black	kurusari	k u r u s a r i	195	838 868 153 868 89 997 153 1076	163	naze1238
903	Kyōto	black	kuroi	k u r oi	195	838 868 153 935	163	kyot1238
904	Hachijō	black	kurokʲa	k u r o kʲ a	195	838 868 153 887 837 997	163	hach1238
905	Shuri	black	kurusaɴ	k u r u s a ɴ	195	838 868 153 868 89 997 751	163	shur1243
906	Kōchi	black	kuroi	k u r oi	195	838 868 153 935	163	shik1243
907	Sado	black	kuroi	k u r oi	195	838 868 153 935	163	sado1237
908	Oki	black	kureː	k u r eː	195	838 868 153 1091	163	
909	Kagoshima	black	kure	k u r e	195	838 868 153 1089	163	kyus1238
#
271	Miyako	blood	akaʦɨ	a k a ts ɨ	71	997 838 997 15 983	946	miya1259
272	Tōkyō	blood	ʨi	tɕ i	71	200 1076	946	toky1238
273	Amami	blood	ʨi	tɕ i	71	200 1076	946	naze1238
274	Kyōto	blood	ʨiː	tɕ iː	71	200 1068	946	kyot1238
275	Hachijō	blood	ʨi	tɕ i	71	200 1076	946	hach1238
276	Shuri	blood	ʨiː	tɕ iː	71	200 1068	946	shur1243
277	Kōchi	blood	ti	t i	71	120 1076	946	shik1243
278	Sado	blood	ʨi	tɕ i	71	200 1076	946	sado1237
279	Oki	blood	ʨi	tɕ i	71	200 1076	946	
280	Kagoshima	blood	ʨiː	tɕ iː	71	200 1068	946	kyus1238
#
1878	Miyako	blow	fːu	fː u	435	444 868	175	miya1259
1879	Tōkyō	blow	huku	h u k u	435	405 868 838 868	175	toky1238
1880	Amami	blow	hukuri	h u k u r i	435	405 868 838 868 153 1076	175	naze1238
1881	Kyōto	blow	huku	h u k u	435	405 868 838 868	175	kyot1238
1882	Hachijō	blow	huku	h u k u	435	405 868 838 868	175	hach1238
1883	Shuri	blow	huʦuɴ	h u ts u ɴ	435	405 868 15 868 751	175	shur1243
1884	Kōchi	blow	huku	h u k u	435	405 868 838 868	175	shik1243
1885	Sado	blow	huku	h u k u	435	405 868 838 868	175	sado1237
1886	Oki	blow	ɸuku	ɸ u k u	435	226 868 838 868	175	
1887	Kagoshima	blow	hu	h u	435	405 868	175	kyus1238
#
301	Miyako	bone	puni	p u n i	76	291 868 107 1076	1394	miya1259
302	Tōkyō	bone	hone	h o n e	76	405 887 107 1089	1394	toky1238
303	Amami	bone	hunɨ	h u n ɨ	76	405 868 107 983	1394	naze1238
304	Kyōto	bone	hone	h o n e	76	405 887 107 1089	1394	kyot1238
305	Hachijō	bone	hone	h o n e	76	405 887 107 1089	1394	hach1238
306	Shuri	bone	huni	h u n i	76	405 868 107 1076	1394	shur1243
307	Kōchi	bone	hone	h o n e	76	405 887 107 1089	1394	shik1243
308	Sado	bone	hone	h o n e	76	405 887 107 1089	1394	sado1237
309	Oki	bone	ɸone	ɸ o n e	76	226 887 107 1089	1394	
310	Kagoshima	bone	hone	h o n e	76	405 887 107 1089	1394	kyus1238
#
502	Miyako	breast	mːifuʦɨ	mː i f u ts ɨ	116	244 1076 452 868 15 983	1402	miya1259
503	Tōkyō	breast	mune	m u n e	116	241 868 107 1089	1402	toky1238
504	Amami	breast	munɨ	m u n ɨ	116	241 868 107 983	1402	naze1238
505	Kyōto	breast	mune	m u n e	116	241 868 107 1089	1402	kyot1238
506	Hachijō	breast	mune	m u n e	116	241 868 107 1089	1402	hach1238
507	Shuri	breast	ɴni	ɴ n i	116	751 107 1076	1402	shur1243
508	Kōchi	breast	mune	m u n e	116	241 868 107 1089	1402	shik1243
509	Sado	breast	mune	m u n e	116	241 868 107 1089	1402	sado1237
510	Oki	breast	ɴne	ɴ n e	116	751 107 1089	1402	
511	Kagoshima	breast	muine	m ui n e	116	241 936 107 1089	1402	kyus1238
#
830	Miyako	burn	muiɭ	m ui ɭ	186	241 936 708	2102	miya1259
831	Tōkyō	burn	moeru	m o e r u	186	241 887 1089 153 868	2102	toky1238
832	Amami	burn	meːruri	m eː r u r i	186	241 1091 153 868 153 1076	2102	naze1238
833	Kyōto	burn	moeru	m o e r u	186	241 887 1089 153 868	2102	kyot1238
834	Hachijō	burn	mieru	m ie r u	186	241 1083 153 868	2102	hach1238
835	Shuri	burn	meːjuɴ	m eː j u ɴ	186	241 1091 570 868 751	2102	shur1243
836	Kōchi	burn	moeru	m o e r u	186	241 887 1089 153 868	2102	shik1243
837	Sado	burn	moeru	m o e r u	186	241 887 1089 153 868	2102	sado1237
838	Oki	burn	moeru	m o e r u	186	241 887 1089 153 868	2102	
839	Kagoshima	burn	moiju	m oi j u	186	241 935 570 868	2102	kyus1238
#
1491	Miyako	child	jarabi	j a r a b i	345	570 997 153 997 257 1076	2099	miya1259
1492	Tōkyō	child	kodomo	k o d o m o	344	838 887 145 887 241 887	2099	toky1238
1493	Amami	child	warabɨ	w a r a b ɨ	345	462 997 153 997 257 983	2099	naze1238
1494	Kyōto	child	kodomo	k o d o m o	344	838 887 145 887 241 887	2099	kyot1238
1495	Hachijō	child	kodomo	k o d o m o	344	838 887 145 887 241 887	2099	hach1238
1496	Shuri	child	warabi	w a r a b i	345	462 997 153 997 257 1076	2099	shur1243
1497	Kōchi	child	kodomo	k o d o m o	344	838 887 145 887 241 887	2099	shik1243
1498	Sado	child	kodomo	k o d o m o	344	838 887 145 887 241 887	2099	sado1237
1499	Oki	child	kodomo	k o d o m o	344	838 887 145 887 241 887	2099	
1500	Kagoshima	child	koidoɴ	k oi d o ɴ	344	838 935 145 887 751	2099	kyus1238
#
442	Miyako	claw	ʦɨmi	ts ɨ m i	103	15 983 241 1076	72	miya1259
443	Tōkyō	claw	ʦume	ts u m e	103	15 868 241 1089	72	toky1238
444	Amami	claw	ʦɨmɨ	ts ɨ m ɨ	103	15 983 241 983	72	naze1238
445	Kyōto	claw	ʦume	ts u m e	103	15 868 241 1089	72	kyot1238
446	Hachijō	claw	ʦume	ts u m e	103	15 868 241 1089	72	hach1238
447	Shuri	claw	ɕimi	ɕ i m i	103	204 1076 241 1076	72	shur1243
448	Kōchi	claw	tume	t u m e	103	120 868 241 1089	72	shik1243
449	Sado	claw	ʦume	ts u m e	103	15 868 241 1089	72	sado1237
450	Oki	claw	ʦume	ts u m e	103	15 868 241 1089	72	
451	Kagoshima	claw	ʦuime	ts ui m e	103	15 936 241 1089	72	kyus1238
#
790	Miyako	cloud	fumu	f u m u	180	452 868 241 868	1489	miya1259
791	Tōkyō	cloud	kumo	k u m o	180	838 868 241 887	1489	toky1238
792	Amami	cloud	kumo	k u m o	180	838 868 241 887	1489	naze1238
793	Kyōto	cloud	kumo	k u m o	180	838 868 241 887	1489	kyot1238
794	Hachijō	cloud	kumo	k u m o	180	838 868 241 887	1489	hach1238
795	Shuri	cloud	kumu	k u m u	180	838 868 241 868	1489	shur1243
796	Kōchi	cloud	kumo	k u m o	180	838 868 241 887	1489	shik1243
797	Sado	cloud	kumo	k u m o	180	838 868 241 887	1489	sado1237
798	Oki	cloud	kumo	k u m o	180	838 868 241 887	1489	
799	Kagoshima	cloud	kumo	k u m o	180	838 868 241 887	1489	kyus1238
#
930	Miyako	cold	piʃi	p i ʃ i	201	291 1076 683 1076	1287	miya1259
931	Tōkyō	cold	samui	s a m ui	203	89 997 241 936	1287	toky1238
932	Amami	cold	higurusari	h i ɡ u r u s a r i	201	405 1076 831 868 153 868 89 997 153 1076	1287	naze1238
933	Kyōto	cold	sabui	s a b ui	203	89 997 257 936	1287	kyot1238
934	Hachijō	cold	kogiete	k o ɡ ie t e	202	838 887 831 1083 120 1089	1287	hach1238
935	Shuri	cold	hwiːsaɴ	h w iː s a ɴ	201	405 462 1068 89 997 751	1287	shur1243
936	Kōchi	cold	hijai	h i j ai	201	405 1076 570 1037	1287	shik1243
937	Sado	cold	samui	s a m ui	203	89 997 241 936	1287	sado1237
938	Oki	cold	sabiː	s a b iː	203	89 997 257 1068	1287	
939	Kagoshima	cold	sami	s a m i	203	89 997 241 1076	1287	kyus1238
#
650	Miyako	come	fuː	f uː	147	452 860	1446	miya1259
651	Tōkyō	come	kuru	k u r u	149	838 868 153 868	1446	toky1238
652	Amami	come	xuri	x u r i	149	778 868 153 1076	1446	naze1238
653	Kyōto	come	kuru	k u r u	149	838 868 153 868	1446	kyot1238
654	Hachijō	come	kuru	k u r u	149	838 868 153 868	1446	hach1238
655	Shuri	come	ʦuːɴ	ts uː ɴ	148	15 860 751	1446	shur1243
656	Kōchi	come	kuru	k u r u	149	838 868 153 868	1446	shik1243
657	Sado	come	kuru	k u r u	149	838 868 153 868	1446	sado1237
658	Oki	come	kuru	k u r u	149	838 868 153 868	1446	
659	Kagoshima	come	ku	k u	149	838 868	1446	kyus1238
#
1671	Miyako	correct (right)	atariːduːɭ	a t a r iː d uː ɭ	392	997 120 997 153 1068 145 860 708	1725	miya1259
1672	Tōkyō	correct (right)	iː	iː	387	1068	1725	toky1238
1673	Amami	correct (right)	iʨːari	i tːɕ a r i	390	1076 202 997 153 1076	1725	naze1238
1674	Kyōto	correct (right)	eː	eː	387	1091	1725	kyot1238
1675	Hachijō	correct (right)	jokːja	j o kː j a	393	570 887 832 570 997	1725	hach1238
1676	Shuri	correct (right)	jutaɕaɴ	j u t a ɕ a ɴ	391	570 868 120 997 204 997 751	1725	shur1243
1677	Kōchi	correct (right)	eː	eː	387	1091	1725	shik1243
1678	Sado	correct (right)	tadasiː	t a d a s iː	388	120 997 145 997 89 1068	1725	sado1237
1679	Oki	correct (right)	eː	eː	387	1091	1725	
1680	Kagoshima	correct (right)	naiːʨo	n a iː tɕ o	389	107 997 1068 200 887	1725	kyus1238
#
1511	Miyako	cut	ʦɨːʦɨː	ts ɨː ts ɨː	347	15 976 15 976	1432	miya1259
1512	Tōkyō	cut	kiru	k i r u	347	838 1076 153 868	1432	toky1238
1513	Amami	cut	kiruri	k i r u r i	347	838 1076 153 868 153 1076	1432	naze1238
1514	Kyōto	cut	kiru	k i r u	347	838 1076 153 868	1432	kyot1238
1515	Hachijō	cut	kiru	k i r u	347	838 1076 153 868	1432	hach1238
1516	Shuri	cut	ʨijuɴ	tɕ i j u ɴ	347	200 1076 570 868 751	1432	shur1243
1517	Kōchi	cut	kiru	k i r u	347	838 1076 153 868	1432	shik1243
1518	Sado	cut	kiru	k i r u	347	838 1076 153 868	1432	sado1237
1519	Oki	cut	kiru	k i r u	347	838 1076 153 868	1432	
1520	Kagoshima	cut	kit	k i t	347	838 1076 120	1432	kyus1238
#
1501	Miyako	dark	fːa	fː a	346	444 997	706	miya1259
1502	Tōkyō	dark	kurai	k u r ai	346	838 868 153 1037	706	toky1238
1503	Amami	dark	kurasari	k u r a s a r i	346	838 868 153 997 89 997 153 1076	706	naze1238
1504	Kyōto	dark	kurai	k u r ai	346	838 868 153 1037	706	kyot1238
1505	Hachijō	dark	kurakʲa	k u r a kʲ a	346	838 868 153 997 837 997	706	hach1238
1506	Shuri	dark	kurasaɴ	k u r a s a ɴ	346	838 868 153 997 89 997 751	706	shur1243
1507	Kōchi	dark	kurai	k u r ai	346	838 868 153 1037	706	shik1243
1508	Sado	dark	kurai	k u r ai	346	838 868 153 1037	706	sado1237
1509	Oki	dark	kureː	k u r eː	346	838 868 153 1091	706	
1510	Kagoshima	dark	kuire	k ui r e	346	838 936 153 1089	706	kyus1238
#
1140	Miyako	day	sɨkama	s ɨ k a m a	263	89 983 838 997 241 997	1225	miya1259
1141	Tōkyō	day	hiruma	h i r u m a	262	405 1076 153 868 241 997	1225	toky1238
1142	Amami	day	hiruhiɴma	h i r u h i ɴ m a	262	405 1076 153 868 405 1076 751 241 997	1225	naze1238
1143	Kyōto	day	hiruma	h i r u m a	262	405 1076 153 868 241 997	1225	kyot1238
1144	Hachijō	day	hiruma	h i r u m a	262	405 1076 153 868 241 997	1225	hach1238
1145	Shuri	day	hwiru	h w i r u	262	405 462 1076 153 868	1225	shur1243
1146	Kōchi	day	hiruma	h i r u m a	262	405 1076 153 868 241 997	1225	shik1243
1147	Sado	day	hiruma	h i r u m a	262	405 1076 153 868 241 997	1225	sado1237
1148	Oki	day	ɸiru	ɸ i r u	262	226 1076 153 868	1225	
1149	Kagoshima	day	hiːi	h iː i	262	405 1068 1076	1225	kyus1238
#
600	Miyako	die	sɨn	s ɨ n	138	89 983 107	1494	miya1259
601	Tōkyō	die	sinu	s i n u	138	89 1076 107 868	1494	toky1238
602	Amami	die	simʲuri	s i mʲ u r i	138	89 1076 242 868 153 1076	1494	naze1238
603	Kyōto	die	sinu	s i n u	138	89 1076 107 868	1494	kyot1238
604	Hachijō	die	marubu	m a r u b u	137	241 997 153 868 257 868	1494	hach1238
605	Shuri	die	sinuɴ	s i n u ɴ	138	89 1076 107 868 751	1494	shur1243
606	Kōchi	die	sinuru	s i n u r u	138	89 1076 107 868 153 868	1494	shik1243
607	Sado	die	sinu	s i n u	138	89 1076 107 868	1494	sado1237
608	Oki	die	sinoru	s i n o r u	138	89 1076 107 887 153 868	1494	
609	Kagoshima	die	siːɴ	s iː ɴ	138	89 1068 751	1494	kyus1238
#
1780	Miyako	dig	puɭ	p u ɭ	414	291 868 708	1418	miya1259
1781	Tōkyō	dig	horu	h o r u	414	405 887 153 868	1418	toky1238
1782	Amami	dig	hururi	h u r u r i	414	405 868 153 868 153 1076	1418	naze1238
1783	Kyōto	dig	horu	h o r u	414	405 887 153 868	1418	kyot1238
1784	Hachijō	dig	horu	h o r u	414	405 887 153 868	1418	hach1238
1785	Shuri	dig	hujuɴ	h u j u ɴ	414	405 868 570 868 751	1418	shur1243
1786	Kōchi	dig	horu	h o r u	414	405 887 153 868	1418	shik1243
1787	Sado	dig	horu	h o r u	414	405 887 153 868	1418	sado1237
1788	Oki	dig	horu	h o r u	414	405 887 153 868	1418	
1789	Kagoshima	dig	ho	h o	414	405 887	1418	kyus1238
#
1621	Miyako	dirty	ʃːanagi	ʃː a n a ɡ i	375	678 997 107 997 831 1076	1230	miya1259
1622	Tōkyō	dirty	kitanai	k i t a n ai	370	838 1076 120 997 107 1037	1230	toky1238
1623	Amami	dirty	janagesari	j a n a ɡ e s a r i	373	570 997 107 997 831 1089 89 997 153 1076	1230	naze1238
1624	Kyōto	dirty	kitanai	k i t a n ai	370	838 1076 120 997 107 1037	1230	kyot1238
1625	Hachijō	dirty	kitanakʲa	k i t a n a kʲ a	370	838 1076 120 997 107 997 837 997	1230	hach1238
1626	Shuri	dirty	hagoːsaɴ	h a ɡ oː s a ɴ	374	405 997 831 880 89 997 751	1230	shur1243
1627	Kōchi	dirty	dakina	d a k i n a	372	145 997 838 1076 107 997	1230	shik1243
1628	Sado	dirty	jogoretoru	j o ɡ o r e t o r u	371	570 887 831 887 153 1089 120 887 153 868	1230	sado1237
1629	Oki	dirty	kitaneː	k i t a n eː	370	838 1076 120 997 107 1091	1230	
1630	Kagoshima	dirty	kisːane	k i sː a n e	370	838 1076 72 997 107 1089	1230	kyus1238
#
201	Miyako	dog	in	i n	62	1076 107	2009	miya1259
202	Tōkyō	dog	inu	i n u	62	1076 107 868	2009	toky1238
203	Amami	dog	ʔiɴ	ʔ i ɴ	62	409 1076 751	2009	naze1238
204	Kyōto	dog	inu	i n u	62	1076 107 868	2009	kyot1238
205	Hachijō	dog	ʨiɴme	tɕ i ɴ m e	61	200 1076 751 241 1089	2009	hach1238
206	Shuri	dog	ʔiɴ	ʔ i ɴ	62	409 1076 751	2009	shur1243
207	Kōchi	dog	inu	i n u	62	1076 107 868	2009	shik1243
208	Sado	dog	inu	i n u	62	1076 107 868	2009	sado1237
209	Oki	dog	eno	e n o	62	1089 107 887	2009	
210	Kagoshima	dog	iɴ	i ɴ	62	1076 751	2009	kyus1238
#
1917	Miyako	down	sɨtaːra	s ɨ t aː r a	446	89 983 120 1004 153 997	1326	miya1259
1918	Tōkyō	down	sitae	s i t a e	446	89 1076 120 997 1089	1326	toky1238
1919	Amami	down	ɕaːʨi	ɕ aː tɕ i	446	204 1004 200 1076	1326	naze1238
1920	Kyōto	down	sitae	s i t a e	446	89 1076 120 997 1089	1326	kyot1238
1921	Hachijō	down	sita	s i t a	446	89 1076 120 997	1326	hach1238
1922	Shuri	down	siʦaɴkai	s i ts a ɴ k ai	446	89 1076 15 997 751 838 1037	1326	shur1243
1923	Kōchi	down	sita	s i t a	446	89 1076 120 997	1326	shik1243
1924	Sado	down	sita	s i t a	446	89 1076 120 997	1326	sado1237
1925	Oki	down	sita	s i t a	446	89 1076 120 997	1326	
1926	Kagoshima	down	site	s i t e	446	89 1076 120 1089	1326	kyus1238
#
530	Miyako	drink	num	n u m	120	107 868 241	1401	miya1259
531	Tōkyō	drink	nomu	n o m u	120	107 887 241 868	1401	toky1238
532	Amami	drink	numuri	n u m u r i	120	107 868 241 868 153 1076	1401	naze1238
533	Kyōto	drink	nomu	n o m u	120	107 887 241 868	1401	kyot1238
