ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA	CONCEPTICON_ID	GLOTTOLOG
77	Verkhne-Kalymsk Khanty	belly	koɳ	k o ɳ	13	838 887 711	1251	khan1273
78	Vasjugan Khanty	belly	koɳ	k o ɳ	13	838 887 711	1251	khan1273
79	Vartovskoje Khanty	belly	koɳ	k o ɳ	13	838 887 711	1251	khan1273
80	Likrisovskoje Khanty	belly	koɳ	k o ɳ	13	838 887 711	1251	khan1273
81	Malyj Jugan Khanty	belly	kon	k o n	13	838 887 107	1251	khan1273
82	Tremjugan Khanty	belly	koɳ	k o ɳ	13	838 887 711	1251	mans1258
83	Jugan Khanty	belly	kon	k o n	13	838 887 107	1251	khan1273
84	Upper Demjanka Khanty	belly	poːrəχ	p oː r ə χ	14	291 880 153 1022 748	1251	khan1273
85	Konda Khanty	belly	χon	χ o n	13	748 887 107	1251	khan1273
86	Nizjam Khanty	belly	χon	χ o n	13	748 887 107	1251	khan1273
87	Sherkaly Khanty	belly	χon	χ o n	13	748 887 107	1251	khan1273
88	Kazym Khanty	belly	χoɳ	χ o ɳ	13	748 887 711	1251	khan1273
89	Synja Khanty	belly	χoɳ	χ o ɳ	13	748 887 711	1251	khan1273
90	Obdorsk Khanty	belly	χon	χ o n	13	748 887 107	1251	khan1273
#
53	North Mansi	big	jænɨɣ	j æ n ɨ ɣ	15	570 1087 107 983 780	1202	mans1258
54	Middle Lozva Mansi	big	jæni	j æ n i	15	570 1087 107 1076	1202	mans1258
55	Lower Lozva Mansi	big	jæni	j æ n i	15	570 1087 107 1076	1202	
56	Pelymka Mansi	big	jæni	j æ n i	15	570 1087 107 1076	1202	mans1258
57	Konda Mansi	big	jæni	j æ n i	15	570 1087 107 1076	1202	khan1273
58	Tavda Mansi	big	jænu	j æ n u	15	570 1087 107 868	1202	mans1258
59	Vakh Khanty	big	eɭɭə	e ɭː ə	15	1089 709 1022	1202	khan1273
60	Verkhne-Kalymsk Khanty	big	eɭə	e ɭ ə	15	1089 708 1022	1202	khan1273
61	Vasjugan Khanty	big	eɭɭə	e ɭː ə	15	1089 709 1022	1202	khan1273
62	Vartovskoje Khanty	big	eɭə	e ɭ ə	15	1089 708 1022	1202	khan1273
63	Likrisovskoje Khanty	big	eɭə	e ɭ ə	15	1089 708 1022	1202	khan1273
64	Malyj Jugan Khanty	big	enɬ	e n ɬ	15	1089 107 540	1202	khan1273
65	Tremjugan Khanty	big	enɬ	e n ɬ	15	1089 107 540	1202	mans1258
66	Jugan Khanty	big	entɬ	e n t ɬ	15	1089 107 120 540	1202	khan1273
67	Upper Demjanka Khanty	big	eːnə	eː n ə	15	1091 107 1022	1202	khan1273
68	Konda Khanty	big	eːnə	eː n ə	15	1091 107 1022	1202	khan1273
69	Nizjam Khanty	big	uːnə	uː n ə	16	860 107 1022	1202	khan1273
70	Sherkaly Khanty	big	uːnə	uː n ə	16	860 107 1022	1202	khan1273
71	Kazym Khanty	big	wɵːn	w ɵː n	16	462 971 107	1202	khan1273
72	Synja Khanty	big	uːn	uː n	16	860 107	1202	khan1273
#
91	North Mansi	bird	tɔwləŋuj	t ɔ w l ə ŋ u j	17	120 916 462 554 1022 801 868 570	937	mans1258
92	Middle Lozva Mansi	bird	tɔuləŋuj	t ɔu l ə ŋ u j	17	120 922 554 1022 801 868 570	937	mans1258
93	Lower Lozva Mansi	bird	uj	u j	17	868 570	937	
94	Pelymka Mansi	bird	wuj	w u j	17	462 868 570	937	mans1258
95	Konda Mansi	bird	wuj	w u j	17	462 868 570	937	khan1273
96	Tavda Mansi	bird	sosqol	s o s q o l	18	89 887 89 757 887 554	937	mans1258
97	Vakh Khanty	bird	waːjəɣ	w aː j ə ɣ	17	462 1004 570 1022 780	937	khan1273
98	Vasjugan Khanty	bird	waːjəɣ	w aː j ə ɣ	17	462 1004 570 1022 780	937	khan1273
99	Tremjugan Khanty	bird	toɣɬəŋwɔːjəɣ	t o ɣ ɬ ə ŋ w ɔː j ə ɣ	17	120 887 780 540 1022 801 462 914 570 1022 780	937	mans1258
100	Upper Demjanka Khanty	bird	toχtəŋwoːjə	t o χ t ə ŋ w oː j ə	17	120 887 748 120 1022 801 462 880 570 1022	937	khan1273
101	Sherkaly Khanty	bird	wɔːj	w ɔː j	17	462 914 570	937	khan1273
102	Kazym Khanty	bird	toχɬəŋwɔːj	t o χ ɬ ə ŋ w ɔː j	17	120 887 748 540 1022 801 462 914 570	937	khan1273
#
103	North Mansi	bite	puri	p u r i	19	291 868 153 1076	1403	mans1258
104	Middle Lozva Mansi	bite	puri	p u r i	19	291 868 153 1076	1403	mans1258
105	Lower Lozva Mansi	bite	puri	p u r i	19	291 868 153 1076	1403	
106	Pelymka Mansi	bite	puri	p u r i	19	291 868 153 1076	1403	mans1258
107	Konda Mansi	bite	pori	p o r i	19	291 887 153 1076	1403	khan1273
108	Tavda Mansi	bite	pur	p u r	19	291 868 153	1403	mans1258
109	Vakh Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
110	Verkhne-Kalymsk Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
111	Vasjugan Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
112	Likrisovskoje Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
113	Malyj Jugan Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
114	Tremjugan Khanty	bite	por	p o r	19	291 887 153	1403	mans1258
115	Jugan Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
116	Upper Demjanka Khanty	bite	par	p a r	19	291 997 153	1403	khan1273
117	Konda Khanty	bite	par	p a r	19	291 997 153	1403	khan1273
118	Nizjam Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
119	Sherkaly Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
120	Kazym Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
121	Synja Khanty	bite	por	p o r	19	291 887 153	1403	khan1273
122	Obdorsk Khanty	bite	par	p a r	19	291 997 153	1403	khan1273
#
123	North Mansi	black	seːməl	s eː m ə l	20	89 1091 241 1022 554	163	mans1258
124	Middle Lozva Mansi	black	ʃeːməl	ʃ eː m ə l	20	683 1091 241 1022 554	163	mans1258
125	Lower Lozva Mansi	black	ʃeːməl	ʃ eː m ə l	20	683 1091 241 1022 554	163	
126	Pelymka Mansi	black	ʃeːməl	ʃ eː m ə l	20	683 1091 241 1022 554	163	mans1258
127	Konda Mansi	black	seːməl	s eː m ə l	20	89 1091 241 1022 554	163	khan1273
128	Tavda Mansi	black	pæŋ	p æ ŋ	21	291 1087 801	163	mans1258
129	Vakh Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	khan1273
130	Verkhne-Kalymsk Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	khan1273
131	Vasjugan Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	khan1273
132	Likrisovskoje Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	khan1273
133	Malyj Jugan Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	khan1273
134	Tremjugan Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	mans1258
135	Jugan Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	khan1273
136	Upper Demjanka Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	khan1273
137	Konda Khanty	black	peɣtə	p e ɣ t ə	22	291 1089 780 120 1022	163	khan1273
138	Nizjam Khanty	black	piɣtə	p i ɣ t ə	22	291 1076 780 120 1022	163	khan1273
139	Sherkaly Khanty	black	piɣtə	p i ɣ t ə	22	291 1076 780 120 1022	163	khan1273
140	Kazym Khanty	black	pitiː	p i t iː	22	291 1076 120 1068	163	khan1273
141	Synja Khanty	black	pitiː	p i t iː	22	291 1076 120 1068	163	khan1273
142	Obdorsk Khanty	black	puːtiː	p uː t iː	22	291 860 120 1068	163	khan1273
#
143	North Mansi	blood	keːlp	k eː l p	23	838 1091 554 291	946	mans1258
144	Middle Lozva Mansi	blood	wyir	w yi r	24	462 1062 153	946	mans1258
145	Lower Lozva Mansi	blood	œːr	œː r	24	1057 153	946	
146	Pelymka Mansi	blood	wyɨr	w y ɨ r	24	462 1047 983 153	946	mans1258
147	Konda Mansi	blood	wɨr	w ɨ r	24	462 983 153	946	khan1273
148	Tavda Mansi	blood	uːr	uː r	24	860 153	946	mans1258
149	Vakh Khanty	blood	wer	w e r	24	462 1089 153	946	khan1273
150	Vasjugan Khanty	blood	wer	w e r	24	462 1089 153	946	khan1273
151	Tremjugan Khanty	blood	wer	w e r	24	462 1089 153	946	mans1258
152	Jugan Khanty	blood	wer	w e r	24	462 1089 153	946	khan1273
153	Upper Demjanka Khanty	blood	wer	w e r	24	462 1089 153	946	khan1273
154	Konda Khanty	blood	wer	w e r	24	462 1089 153	946	khan1273
155	Nizjam Khanty	blood	katə	k a t ə	25	838 997 120 1022	946	khan1273
156	Sherkaly Khanty	blood	katə	k a t ə	25	838 997 120 1022	946	khan1273
157	Kazym Khanty	blood	kaɬiː	k a ɬ iː	25	838 997 540 1068	946	khan1273
158	Synja Khanty	blood	wur	w u r	24	462 868 153	946	khan1273
159	Obdorsk Khanty	blood	wuːr	w uː r	24	462 860 153	946	khan1273
#
160	North Mansi	bone	lu	l u	26	554 868	1394	mans1258
161	Middle Lozva Mansi	bone	lu	l u	26	554 868	1394	mans1258
162	Lower Lozva Mansi	bone	luʃm	l u ʃ m	26	554 868 683 241	1394	
163	Pelymka Mansi	bone	lu	l u	26	554 868	1394	mans1258
164	Konda Mansi	bone	lo	l o	26	554 887	1394	khan1273
165	Tavda Mansi	bone	loʃəm	l o ʃ ə m	26	554 887 683 1022 241	1394	mans1258
166	Vakh Khanty	bone	loɣ	l o ɣ	26	554 887 780	1394	khan1273
167	Verkhne-Kalymsk Khanty	bone	loɣ	l o ɣ	26	554 887 780	1394	khan1273
168	Vasjugan Khanty	bone	loɣ	l o ɣ	26	554 887 780	1394	khan1273
169	Vartovskoje Khanty	bone	ɬoɣ	ɬ o ɣ	26	540 887 780	1394	khan1273
170	Likrisovskoje Khanty	bone	θoɣ	θ o ɣ	26	417 887 780	1394	khan1273
171	Malyj Jugan Khanty	bone	ɬoɣʷ	ɬ o ɣʷ	26	540 887 788	1394	khan1273
172	Tremjugan Khanty	bone	ɬoɣʷ	ɬ o ɣʷ	26	540 887 788	1394	mans1258
173	Jugan Khanty	bone	ɬow	ɬ o w	26	540 887 462	1394	khan1273
174	Upper Demjanka Khanty	bone	tew	t e w	26	120 1089 462	1394	khan1273
175	Konda Khanty	bone	tow	t o w	26	120 887 462	1394	khan1273
176	Nizjam Khanty	bone	tuw	t u w	26	120 868 462	1394	khan1273
177	Sherkaly Khanty	bone	tuw	t u w	26	120 868 462	1394	khan1273
178	Kazym Khanty	bone	ɬuw	ɬ u w	26	540 868 462	1394	khan1273
179	Synja Khanty	bone	low	l o w	26	554 887 462	1394	khan1273
180	Obdorsk Khanty	bone	law	l a w	26	554 997 462	1394	khan1273
#
181	North Mansi	breast	maɣɨl	m a ɣ ɨ l	27	241 997 780 983 554	1402	mans1258
182	Middle Lozva Mansi	breast	maɨl	m a ɨ l	27	241 997 983 554	1402	mans1258
183	Lower Lozva Mansi	breast	maɨl	m a ɨ l	27	241 997 983 554	1402	
184	Pelymka Mansi	breast	maɣɨl	m a ɣ ɨ l	27	241 997 780 983 554	1402	mans1258
185	Konda Mansi	breast	mɔul	m ɔu l	27	241 922 554	1402	khan1273
186	Tavda Mansi	breast	məul	m əu l	27	241 1036 554	1402	mans1258
187	Vakh Khanty	breast	mœːɣəl	m œː ɣ ə l	27	241 1057 780 1022 554	1402	khan1273
188	Verkhne-Kalymsk Khanty	breast	mœːɣəl	m œː ɣ ə l	27	241 1057 780 1022 554	1402	khan1273
189	Vasjugan Khanty	breast	mœːɣəl	m œː ɣ ə l	27	241 1057 780 1022 554	1402	khan1273
190	Vartovskoje Khanty	breast	mœɣəɬ	m œ ɣ ə ɬ	27	241 1059 780 1022 540	1402	khan1273
191	Likrisovskoje Khanty	breast	mæɣʷəθ	m æ ɣʷ ə θ	27	241 1087 788 1022 417	1402	khan1273
192	Malyj Jugan Khanty	breast	mæɣʷəɬ	m æ ɣʷ ə ɬ	27	241 1087 788 1022 540	1402	khan1273
193	Tremjugan Khanty	breast	mæɣʷəɬ	m æ ɣʷ ə ɬ	27	241 1087 788 1022 540	1402	mans1258
194	Jugan Khanty	breast	mæwəɬ	m æ w ə ɬ	27	241 1087 462 1022 540	1402	khan1273
195	Upper Demjanka Khanty	breast	meːɣət	m eː ɣ ə t	27	241 1091 780 1022 120	1402	khan1273
196	Konda Khanty	breast	meːɣət	m eː ɣ ə t	27	241 1091 780 1022 120	1402	khan1273
197	Nizjam Khanty	breast	meːwət	m eː w ə t	27	241 1091 462 1022 120	1402	khan1273
198	Sherkaly Khanty	breast	meːɣət	m eː ɣ ə t	27	241 1091 780 1022 120	1402	khan1273
199	Kazym Khanty	breast	meːwəɬ	m eː w ə ɬ	27	241 1091 462 1022 540	1402	khan1273
200	Synja Khanty	breast	meːwəl	m eː w ə l	27	241 1091 462 1022 554	1402	khan1273
201	Obdorsk Khanty	breast	meːwəl	m eː w ə l	27	241 1091 462 1022 554	1402	khan1273
#
202	North Mansi	burn	titti	t i tː i	28	120 1076 130 1076	141	mans1258
203	Middle Lozva Mansi	burn	tiχti	t i χ t i	28	120 1076 748 120 1076	141	mans1258
204	Lower Lozva Mansi	burn	tiχti	t i χ t i	28	120 1076 748 120 1076	141	
205	Pelymka Mansi	burn	tiχti	t i χ t i	28	120 1076 748 120 1076	141	mans1258
206	Konda Mansi	burn	təχti	t ə χ t i	28	120 1022 748 120 1076	141	khan1273
207	Tavda Mansi	burn	tæitæl	t æ t æ l	28	120 1087 120 1087 554	141	mans1258
208	Jugan Khanty	burn	ɬæːpət	ɬ æː p ə t	28	540 1088 291 1022 120	141	khan1273
209	Upper Demjanka Khanty	burn	tæːpət	t æː p ə t	28	120 1088 291 1022 120	141	khan1273
210	Konda Khanty	burn	tæːpət	t æː p ə t	28	120 1088 291 1022 120	141	khan1273
211	Kazym Khanty	burn	ɬaːpət	ɬ aː p ə t	28	540 1004 291 1022 120	141	khan1273
212	Synja Khanty	burn	laːpət	l aː p ə t	28	554 1004 291 1022 120	141	khan1273
#
213	North Mansi	claw (nail)	kʷons	kʷ o n s	29	834 887 107 89	2128	mans1258
214	Middle Lozva Mansi	claw (nail)	kʷænʃ	kʷ æ n ʃ	29	834 1087 107 683	2128	mans1258
215	Lower Lozva Mansi	claw (nail)	kʷænʃ	kʷ æ n ʃ	29	834 1087 107 683	2128	
216	Pelymka Mansi	claw (nail)	kʷænʃ	kʷ æ n ʃ	29	834 1087 107 683	2128	mans1258
217	Konda Mansi	claw (nail)	kʷæns	kʷ æ n s	29	834 1087 107 89	2128	khan1273
218	Tavda Mansi	claw (nail)	kunʃ	k u n ʃ	29	838 868 107 683	2128	mans1258
219	Vakh Khanty	claw (nail)	kœɳʧ	k œ ɳ tʃ	29	838 1059 711 651	2128	khan1273
220	Verkhne-Kalymsk Khanty	claw (nail)	kœɳʧ	k œ ɳ tʃ	29	838 1059 711 651	2128	khan1273
221	Vasjugan Khanty	claw (nail)	kœɳʧ	k œ ɳ tʃ	29	838 1059 711 651	2128	khan1273
222	Vartovskoje Khanty	claw (nail)	kœɳʧ	k œ ɳ tʃ	29	838 1059 711 651	2128	khan1273
223	Likrisovskoje Khanty	claw (nail)	kœɳʧ	k œ ɳ tʃ	29	838 1059 711 651	2128	khan1273
224	Malyj Jugan Khanty	claw (nail)	kœɳʧ	k œ ɳ tʃ	29	838 1059 711 651	2128	khan1273
225	Tremjugan Khanty	claw (nail)	kœɳʧ	k œ ɳ tʃ	29	838 1059 711 651	2128	mans1258
226	Jugan Khanty	claw (nail)	kœnʧ	k œ n tʃ	29	838 1059 107 651	2128	khan1273
227	Upper Demjanka Khanty	claw (nail)	konʧ	k o n tʃ	29	838 887 107 651	2128	khan1273
228	Konda Khanty	claw (nail)	konʧ	k o n tʃ	29	838 887 107 651	2128	khan1273
229	Nizjam Khanty	claw (nail)	kuʃ	k u ʃ	29	838 868 683	2128	khan1273
230	Sherkaly Khanty	claw (nail)	kuʃ	k u ʃ	29	838 868 683	2128	khan1273
231	Kazym Khanty	claw (nail)	kuʃ	k u ʃ	29	838 868 683	2128	khan1273
232	Synja Khanty	claw (nail)	kuʃ	k u ʃ	29	838 868 683	2128	khan1273
233	Obdorsk Khanty	claw (nail)	kuːs	k uː s	29	838 860 89	2128	khan1273
#
234	North Mansi	cloud	tul	t u l	30	120 868 554	1489	mans1258
235	Middle Lozva Mansi	cloud	tul	t u l	30	120 868 554	1489	mans1258
236	Lower Lozva Mansi	cloud	tul	t u l	30	120 868 554	1489	
237	Pelymka Mansi	cloud	tul	t u l	30	120 868 554	1489	mans1258
238	Konda Mansi	cloud	tol	t o l	30	120 887 554	1489	khan1273
239	Tavda Mansi	cloud	tul	t u l	30	120 868 554	1489	mans1258
240	Vakh Khanty	cloud	peləŋ	p e l ə ŋ	31	291 1089 554 1022 801	1489	khan1273
241	Verkhne-Kalymsk Khanty	cloud	peləŋ	p e l ə ŋ	31	291 1089 554 1022 801	1489	khan1273
242	Vasjugan Khanty	cloud	peləŋ	p e l ə ŋ	31	291 1089 554 1022 801	1489	khan1273
243	Vartovskoje Khanty	cloud	peɬəŋ	p e ɬ ə ŋ	31	291 1089 540 1022 801	1489	khan1273
244	Likrisovskoje Khanty	cloud	peθəŋ	p e θ ə ŋ	31	291 1089 417 1022 801	1489	khan1273
245	Malyj Jugan Khanty	cloud	peɬəŋ	p e ɬ ə ŋ	31	291 1089 540 1022 801	1489	khan1273
246	Tremjugan Khanty	cloud	peɬəŋ	p e ɬ ə ŋ	31	291 1089 540 1022 801	1489	mans1258
247	Jugan Khanty	cloud	peɬəŋ	p e ɬ ə ŋ	31	291 1089 540 1022 801	1489	khan1273
248	Upper Demjanka Khanty	cloud	petəŋ	p e t ə ŋ	31	291 1089 120 1022 801	1489	khan1273
249	Nizjam Khanty	cloud	patəŋ	p a t ə ŋ	31	291 997 120 1022 801	1489	khan1273
250	Sherkaly Khanty	cloud	patəŋ	p a t ə ŋ	31	291 997 120 1022 801	1489	khan1273
251	Kazym Khanty	cloud	paɬəŋ	p a ɬ ə ŋ	31	291 997 540 1022 801	1489	khan1273
252	Synja Khanty	cloud	paləŋ	p a l ə ŋ	31	291 997 554 1022 801	1489	khan1273
253	Obdorsk Khanty	cloud	pæləŋ	p æ l ə ŋ	31	291 1087 554 1022 801	1489	khan1273
#
254	North Mansi	cold	asʲerəm	a sʲ e r ə m	35	997 90 1089 153 1022 241	1287	mans1258
255	Middle Lozva Mansi	cold	æsʲerəm	æ sʲ e r ə m	35	1087 90 1089 153 1022 241	1287	mans1258
256	Lower Lozva Mansi	cold	æsʲerəm	æ sʲ e r ə m	35	1087 90 1089 153 1022 241	1287	
257	Pelymka Mansi	cold	æsʲərəm	æ sʲ ə r ə m	35	1087 90 1022 153 1022 241	1287	mans1258
258	Konda Mansi	cold	asʲərəm	a sʲ ə r ə m	35	997 90 1022 153 1022 241	1287	khan1273
259	Tavda Mansi	cold	iʧirəm	i tʃ i r ə m	35	1076 651 1076 153 1022 241	1287	mans1258
260	Vakh Khanty	cold	etjəɣ	e t j ə ɣ	32	1089 120 570 1022 780	1287	khan1273
261	Verkhne-Kalymsk Khanty	cold	etjəɣ	e t j ə ɣ	32	1089 120 570 1022 780	1287	khan1273
262	Vasjugan Khanty	cold	etjəɣ	e t j ə ɣ	32	1089 120 570 1022 780	1287	khan1273
263	Malyj Jugan Khanty	cold	ɬiːɬ	ɬ iː ɬ	33	540 1068 540	1287	khan1273
264	Tremjugan Khanty	cold	jæɣɬiː	j æ ɣ ɬ iː	34	570 1087 780 540 1068	1287	mans1258
265	Jugan Khanty	cold	jæɣɬiː	j æ ɣ ɬ iː	34	570 1087 780 540 1068	1287	khan1273
266	Upper Demjanka Khanty	cold	etjək	e t j ə k	32	1089 120 570 1022 838	1287	khan1273
267	Konda Khanty	cold	etjək	e t j ə k	32	1089 120 570 1022 838	1287	khan1273
268	Nizjam Khanty	cold	isjkə	i s j k ə	32	1076 89 570 838 1022	1287	khan1273
269	Sherkaly Khanty	cold	isjkə	i s j k ə	32	1076 89 570 838 1022	1287	khan1273
270	Kazym Khanty	cold	isjkiː	i s j k iː	32	1076 89 570 838 1068	1287	khan1273
271	Synja Khanty	cold	isjkiː	i s j k iː	32	1076 89 570 838 1068	1287	khan1273
272	Obdorsk Khanty	cold	isjkiː	i s j k iː	32	1076 89 570 838 1068	1287	khan1273
#
273	North Mansi	come	jiw	j i w	36	570 1076 462	1446	mans1258
274	Middle Lozva Mansi	come	jiw	j i w	36	570 1076 462	1446	mans1258
275	Lower Lozva Mansi	come	iːw	iː w	36	1068 462	1446	
276	Pelymka Mansi	come	jiw	j i w	36	570 1076 462	1446	mans1258
277	Konda Mansi	come	jiw	j i w	36	570 1076 462	1446	khan1273
278	Tavda Mansi	come	jæːnt	j æː n t	36	570 1088 107 120	1446	mans1258
